"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-234",390,-2.245641,0.1549768,0.1,0.8,0.11215528020399,0.185770750988142,-2.24637482926149,0.00299548851460998,0.158220330501824,0.00480791167668741,-2.2467726795189,0.00332092081580005,0.1208760306414,0.00468615475871541,-2.24993074118599,0.00934375377972193,0.149526873837217,0.0154081369152993,-2.24679392159535,0.00308776190920986,0.159851700168042,0.00461773307112938,0.741975082345258
"11422-235",390,-2.245641,0.1549768,0.1,0.8,0.112173010937926,0.18503937007874,-2.24697070884186,0.00298863105757073,0.161384436238842,0.00481104409155143,-2.24686333727895,0.00331147516078266,0.122017589564667,0.00468407771567625,-2.25898639873884,0.00941971879775003,0.163521911613379,0.0154477696906389,-2.24699557427877,0.00308041987687978,0.161363860856063,0.00469395606718103,0.74324005109557
"11422-236",390,-2.245641,0.1549768,0.1,0.8,0.112867292629973,0.186440677966102,-2.24548527697598,0.00310092724073447,0.154649877572745,0.00471162643099911,-2.24432345963212,0.00343652680771794,0.120178330252004,0.00468319892722996,-2.2524100103237,0.00937243584477587,0.170485914200877,0.0153342625700924,-2.24478677587467,0.00326616177099169,0.155512255505957,0.00455540784882621,0.76451466345185
"11422-237",390,-2.245641,0.1549768,0.1,0.8,0.113573168056838,0.191111111111111,-2.24503620834764,0.00317780646929752,0.157663242942263,0.00467274796488457,-2.24446874582162,0.00353087942118886,0.126179451219278,0.0046989906272275,-2.25079606905146,0.00938109210616475,0.129311056934802,0.0155668173537826,-2.24451904015791,0.00335384985826547,0.157229233953885,0.00426280538327748,0.789631427749593
"11422-238",390,-2.245641,0.1549768,0.1,0.8,0.113010273375187,0.182608695652174,-2.24821479449825,0.00314490192476858,0.158179268749635,0.00469260943709685,-2.24454203076733,0.00347228393238968,0.120601189654983,0.00469003903820477,-2.25616338000005,0.0107094337393674,0.149828642662653,0.0147861829696065,-2.24741339504293,0.0032171212277087,0.157779039128605,0.00446004397294362,0.78457498381702
"11422-239",390,-2.245641,0.1549768,0.1,0.8,0.111859208673449,0.16600790513834,-2.249007004541,0.00300154105424387,0.158332879539774,0.00481318318208438,-2.24961341408568,0.00328813897559258,0.124655059861626,0.00469362564964704,-2.2515311253018,0.00917701401628004,0.174314546204361,0.0156332009465765,-2.2490808050583,0.00313836469805223,0.157160539080631,0.00467428601523312,0.772294353908964
"11422-240",390,-2.245641,0.1549768,0.1,0.8,0.112815753652946,0.202586206896552,-2.24738067369171,0.00313007699873291,0.154389354986206,0.00470282803244614,-2.25026513413942,0.00351166830193164,0.126156272869828,0.00470331874985006,-2.25600050001019,0.0104575851473453,0.169031826575002,0.0147021428335651,-2.24838571237247,0.00325993228606071,0.152720431409462,0.00463227024116771,0.791745953004654
"11422-241",390,-2.245641,0.1549768,0.1,0.8,0.112712289021186,0.112554112554113,-2.25088200899737,0.00314303730698151,0.159087593508141,0.0047027050786768,-2.25164869627274,0.00333717220219754,0.139757090215305,0.00467668399577478,-2.24090616774248,0.0103628293634507,0.143015657451359,0.0147009959070151,-2.25066936215629,0.0032094777511039,0.159606164793501,0.00430964767482792,0.854135344725471
"11422-242",390,-2.245641,0.1549768,0.1,0.8,0.113800003288643,0.13716814159292,-2.23890603212095,0.00315512267141546,0.149485597534084,0.00466666698661379,-2.23912607206952,0.00339696068738543,0.127569198216756,0.00465880886653025,-2.23931474948698,0.0106190834739578,0.164353777569595,0.0145926432747876,-2.23893810116444,0.00326986197253215,0.148960922226847,0.00441096432931763,0.844613589443164
"11422-243",390,-2.245641,0.1549768,0.1,0.8,0.113852682625264,0.162162162162162,-2.24307192663902,0.00319193998832337,0.155919055212896,0.00465597528567088,-2.24250901525305,0.00348558918598014,0.129193625542163,0.0046765090717642,-2.23307944481004,0.0103114685788799,0.155208451681159,0.0145849441918716,-2.24250761580392,0.00333583895855751,0.156183783049149,0.00430312137021817,0.815286555050948
"11422-244",390,-2.245641,0.1549768,0.1,0.8,0.112975594811314,0.146551724137931,-2.24963921059723,0.00313213379053963,0.162476165952388,0.00469996677144787,-2.25043365896016,0.00339138827441348,0.137037028578721,0.00467676452346379,-2.25951089923205,0.0119831339341338,0.183845426795481,0.0150627738169761,-2.24981609022767,0.00323073827275986,0.162836648576376,0.0044131638037623,0.823246921438825
"11422-245",390,-2.245641,0.1549768,0.1,0.8,0.112184487560887,0.149797570850202,-2.25001087678852,0.00303526713014514,0.161813807006507,0.00477049797418136,-2.24799076586066,0.00328797857436204,0.126555150817533,0.0046837536181957,-2.23839518150315,0.00909692353483145,0.166158921945696,0.0154954959161458,-2.2492930165008,0.00315494304988996,0.162674746776385,0.004687920398241,0.780597333462267
"11422-246",390,-2.245641,0.1549768,0.1,0.8,0.11338836846127,0.173913043478261,-2.23991751939671,0.00313201088111144,0.147014748264526,0.00468671790868545,-2.24014146403071,0.00344780319972331,0.119644551130201,0.00467749076816683,-2.24759839039252,0.0101492723331072,0.126918963376685,0.0148722253517194,-2.24107199009491,0.00320204191688094,0.146408191830842,0.00453662254476949,0.818630116879995
"11422-247",390,-2.245641,0.1549768,0.1,0.8,0.113496008319377,0.175438596491228,-2.24480612617391,0.00315571980704167,0.158396371329297,0.00467989609244741,-2.24507333592071,0.00347551227103142,0.129498312344817,0.00468453563908916,-2.2464846498163,0.0101871237774853,0.161204613267259,0.0147753800069083,-2.24516880338247,0.0033091039921178,0.15887005358312,0.00429473312012667,0.803461257667186
"11422-248",390,-2.245641,0.1549768,0.1,0.8,0.112519977187116,0.161157024793388,-2.24541102333331,0.0030612684066149,0.152852014650508,0.00474442234096391,-2.24711576405098,0.00334582840146083,0.126163643363302,0.00467873022285624,-2.23672317340675,0.00928716849028487,0.116667864640786,0.0154707444838264,-2.24533302954248,0.00310777915123544,0.154108980734321,0.00462358292906602,0.783360041537933
"11422-249",390,-2.245641,0.1549768,0.1,0.8,0.112862848800392,0.180257510729614,-2.24840614399549,0.00312367203887108,0.158400082517327,0.00470235613198471,-2.25116424369848,0.00345512164945491,0.132065744716502,0.00468742440683672,-2.23480442449702,0.00947877490891616,0.128310273796623,0.0151872490638402,-2.25036514384595,0.00332577472981991,0.158166798561133,0.00431951498842919,0.813902588256769
"11422-250",390,-2.245641,0.1549768,0.1,0.8,0.112994409630644,0.168032786885246,-2.2389792069326,0.0030372549933983,0.149289021704037,0.00474339911180058,-2.23814754554393,0.00332749601329323,0.116856448067182,0.00466658242208512,-2.2538806639317,0.00976039348823334,0.169772174476662,0.0149621491416265,-2.23866817345438,0.00316232385166993,0.149892991505409,0.00449479118498003,0.773234373571684
"11422-251",390,-2.245641,0.1549768,0.1,0.8,0.112988591680409,0.171548117154812,-2.24607257300378,0.00308431837382995,0.16120432579301,0.00472283334091477,-2.24687460576931,0.00339113474457128,0.130385493331721,0.00467763827221364,-2.24201873841941,0.00916466954071911,0.160541877270174,0.0156136663350202,-2.24671032777413,0.00330103772532063,0.161647102745805,0.00435056282120855,0.792075452607135
"11422-252",390,-2.245641,0.1549768,0.1,0.8,0.113346254679521,0.186440677966102,-2.2425021104899,0.00309526205434507,0.157532874076154,0.00470484507087154,-2.2435720323585,0.00343348651627798,0.126566587781115,0.00467646503858371,-2.2465315923752,0.00955157131464311,0.159982405964481,0.0151570659458676,-2.24357344381699,0.0032544087011494,0.156599165026322,0.00465044000155969,0.795989571024326
"11422-253",390,-2.245641,0.1549768,0.1,0.8,0.113802767485372,0.170616113744076,-2.25109521897722,0.00328538626224391,0.16242388325371,0.00464784525274896,-2.25214786005604,0.00360944773461383,0.138811877280796,0.0047172639070795,-2.26058182269477,0.0104593060848395,0.175772452264991,0.0147232413898733,-2.25179152328012,0.00353704083400768,0.161820246233294,0.00415445191986864,0.8435308711322
"11422-254",390,-2.245641,0.1549768,0.1,0.8,0.113094274534232,0.179916317991632,-2.24021732917364,0.00307043206239753,0.149786701043858,0.00472053985151761,-2.23985915387285,0.00339000494130495,0.117765012480749,0.00467100576047318,-2.23520397015352,0.00836153988727353,0.152643147447184,0.018481899728582,-2.24012336165912,0.0032472168779094,0.149949348532943,0.00468623713695044,0.776123275784641
"11422-255",390,-2.245641,0.1549768,0.1,0.8,0.112760798370075,0.201680672268908,-2.24513262756414,0.00308666842501166,0.153505868256378,0.00472384896128829,-2.24223316532029,0.0034486848598642,0.113477499856465,0.00468892483695978,-2.24436670608308,0.0095324546599448,0.146530680792627,0.0152110577080172,-2.24485726444615,0.00321047634717089,0.15379494833059,0.0045798238372213,0.755111333982088
"11422-256",390,-2.245641,0.1549768,0.1,0.8,0.113280702332855,0.165217391304348,-2.24347624997696,0.00313741735847418,0.15291298920324,0.00468827181558749,-2.24250086846251,0.00343192973903536,0.123543744174224,0.00467659591052117,-2.24445923183944,0.0103790037459787,0.155675705385725,0.0146729968289561,-2.24243345593834,0.00324545620936522,0.155232827381042,0.00439278397154253,0.781839835877497
"11422-257",390,-2.245641,0.1549768,0.1,0.8,0.112361009582382,0.15983606557377,-2.24794464809438,0.00305447717268317,0.15761409012385,0.00475487147547495,-2.24746358915536,0.00333122297628818,0.125543851828251,0.00468212777233837,-2.24380492297562,0.00951302449794701,0.157221474822863,0.0151107110936126,-2.24794014763377,0.00320759161821443,0.156986106118481,0.00454455670591952,0.792434777986639
"11422-258",390,-2.245641,0.1549768,0.1,0.8,0.112629567448787,0.135245901639344,-2.24444497621144,0.0030484249753067,0.154843797192052,0.00474892867227938,-2.24514806219327,0.00327999182820342,0.129483655451468,0.00467547299301393,-2.24855820250247,0.00935232293351924,0.172099484193873,0.0153149062361877,-2.24417705930592,0.00317986942686338,0.154623409464936,0.00459501649253743,0.81318363043336
"11422-259",390,-2.245641,0.1549768,0.1,0.8,0.113466023804567,0.164502164502165,-2.24647192796552,0.00313354830183534,0.164154369629329,0.00468602952259658,-2.24527481950509,0.00342700856712141,0.132161516664789,0.00467314819196237,-2.23803624389188,0.0088010966902365,0.148145690734321,0.0164916312925826,-2.24728445391814,0.00337891075782108,0.163474971520239,0.0042252097462984,0.820241862746656
"11422-260",390,-2.245641,0.1549768,0.1,0.8,0.11303691323684,0.177966101694915,-2.24542577493256,0.00309957127188492,0.1579363663296,0.0047099612937605,-2.2461153259009,0.00342042692259935,0.127371399596646,0.00467870201904541,-2.24474274845717,0.00952164817449423,0.151818788701341,0.0151617710529002,-2.24449560249322,0.0031436149266074,0.15955269209304,0.00461695430913849,0.765745152612542
"11422-261",390,-2.245641,0.1549768,0.1,0.8,0.112922589299131,0.171548117154812,-2.24338011921736,0.00307654373629838,0.153661204917943,0.00472332901836005,-2.24295556375779,0.0033787053848114,0.122013252719178,0.00467360622985552,-2.22452671660216,0.0102651871951173,0.125593381527535,0.0146457059853395,-2.24371454031684,0.00318715394914307,0.153007436272092,0.00443114703040471,0.794631709988716
