"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_srs","se_beta0_srs","beta1_srs","se_beta1_srs","beta0_bcc","se_beta0_bcc","beta1_bcc","se_beta1_bcc","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_resid","se_beta0_resid","beta1_resid","se_beta1_resid","ppv"
"11422-30",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111183022977939,0.319548872180451,-2.25093715109585,0.00306806264299829,0.162598575133097,0.00495212569478861,-2.251146604787,0.0030642467611596,0.162300850529503,0.00489372625092646,-2.25089592735326,0.003020407163579,0.162515736204263,0.00500065125465121,-2.25089450783451,0.00312552775761867,0.162372888135697,0.00500194125733635,0.593301435406699
"11422-31",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111783163566247,0.298850574712644,-2.24662784208767,0.00303025737084329,0.155593191998986,0.00496643932654369,-2.24624637229636,0.00305790392124933,0.156142075012742,0.00495083822282077,-2.24612619669739,0.00301201256497755,0.156306341418883,0.00501144003811993,-2.24621191578355,0.0031222335782466,0.155955117553392,0.00516404909617822,0.623188405797101
"11422-32",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111442779405951,0.29811320754717,-2.24516410583126,0.00294020182824506,0.157510709010939,0.00531453668431768,-2.24480032691308,0.00302701789028675,0.157538287404099,0.00545838780527271,-2.24548325894586,0.0029658009807478,0.157006911660154,0.00521501836943845,-2.24499960977602,0.00309048951761587,0.157429476720254,0.00556171198024331,0.612745098039216
"11422-33",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111724940668297,0.3046875,-2.24839527647062,0.00308395216179694,0.158465350491503,0.00490571958660549,-2.24906631761272,0.00311064668680051,0.157702789506275,0.00489865714041916,-2.248769313095,0.00311103138709867,0.158075259295417,0.00496660522861389,-2.248781076928,0.00319829625689843,0.157922070385038,0.00499960037425074,0.632075471698113
"11422-34",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111227307710216,0.353790613718412,-2.2443103689139,0.00298825737183697,0.162061453527673,0.00527736149570774,-2.24413336873063,0.00299649517904751,0.161445420751823,0.00523233934566295,-2.24450865123229,0.00296648695677532,0.161878789666158,0.00514048534370592,-2.24428723792312,0.00308237581588197,0.161925577120693,0.00536461906270912,0.535545023696682
"11422-35",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111894550886722,0.30188679245283,-2.24412091222283,0.00302135176197506,0.159157844228312,0.00507140859909144,-2.24399441389824,0.00303212728092882,0.15929033329737,0.00512700278293956,-2.24400035589028,0.00304856399950732,0.159175192196441,0.00503814959277818,-2.24399838598291,0.00311139020046302,0.159097238521838,0.00525150960763216,0.609756097560976
"11422-36",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111380421052094,0.323308270676692,-2.24544149832431,0.00304549558312927,0.147246401792649,0.00506574458224979,-2.24471283029562,0.00306046011857034,0.1482666775244,0.00522602740000251,-2.24422442815927,0.00305586906240141,0.148317660311003,0.00531379522324318,-2.24477146713129,0.00317506987025685,0.147880698422782,0.00545811075168708,0.59047619047619
"11422-37",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112451755409879,0.261603375527426,-2.25151152744549,0.00325572050517423,0.16286373825,0.00447712337347653,-2.25158928069514,0.00327903169236412,0.16269536920541,0.00450867478409863,-2.25145275695977,0.00325363688446883,0.162833499849333,0.00448228298503498,-2.2513331293444,0.00337526754890049,0.162708653342129,0.00452116543340046,0.711627906976744
"11422-38",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.110283773780176,0.279411764705882,-2.25217254816986,0.00296494148502789,0.152861269229345,0.00518811187964307,-2.25225532847254,0.00297512220777448,0.152679013147516,0.00516633847116467,-2.25253273759966,0.00297556398763775,0.151749322061173,0.00514332481666811,-2.25208759091226,0.00303157160751717,0.152666850150644,0.00529943775879831,0.608247422680412
"11422-39",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111617365698609,0.291044776119403,-2.24330195566031,0.00295677374485276,0.156841554133706,0.00522229864330765,-2.24284480233332,0.00298746187703258,0.154732267298451,0.00521611878509641,-2.24364782530256,0.00295807093865273,0.156316244547382,0.00513515023466971,-2.24344044875928,0.00303899752076478,0.156398908703851,0.00526957871742334,0.61
"11422-40",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111544978451832,0.300395256916996,-2.25073034633916,0.00315768950526999,0.153922294661289,0.00472855819851503,-2.25150630871739,0.0032010680621709,0.153028220080076,0.00467147222149718,-2.2505757848071,0.00316097232269369,0.153488230608535,0.00474068461022656,-2.25099665399652,0.00330604638737413,0.153639966998909,0.00483642309018975,0.643192488262911
"11422-41",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.1117856338394,0.303370786516854,-2.23958178481283,0.00297219072476589,0.153634421782431,0.00522321995791314,-2.240634666295,0.00299361782600332,0.151296200551227,0.00510941968307318,-2.24017492244584,0.00297895101431423,0.152686996482617,0.00518254273720535,-2.23969765501476,0.00305566721750083,0.153215844010608,0.00541932441957124,0.602941176470588
