"LocationID","CountyName","binX_full","binXstar","PopulationDensity","LandArea","POP","DIABETES","binX_partial"
37067004103,"E",0,1,649.8,5.4,3478,320,0
37067004104,"E",0,1,587.7,5.8,3429,319,0
37081010100,"F",1,1,3720.5,0.4,1561,253,1
37081010200,"F",1,1,3076.5,1.3,4070,591,1
37081010300,"F",1,1,1992.4,1.2,2426,355,1
37081010401,"F",0,0,2336.9,0.6,1453,105,NA
37081010403,"F",1,1,2595.1,0.6,1594,118,NA
37081010404,"F",0,1,2050.2,1.2,2502,186,0
37081010500,"F",0,1,2035.7,1.1,2173,161,0
37081010601,"F",1,1,3038.2,0.9,2780,192,1
37081010602,"F",1,1,6278.2,0.7,4592,216,1
37081010701,"F",0,0,4073.1,0.5,1919,108,NA
37081010702,"F",1,1,6681.4,0.6,4307,112,1
37081010800,"F",1,1,2515,1,2409,241,1
37081010900,"F",1,1,3512.5,0.6,2001,153,1
37081011000,"F",0,1,4132.4,1.2,4768,306,0
37081011101,"F",1,1,3950.5,1.1,4260,712,1
37081011102,"F",1,1,2232.3,1.2,2602,581,NA
37081011200,"F",0,1,5259.2,1,5391,777,0
37081011300,"F",0,1,1807.7,1.6,2862,659,NA
37081011400,"F",1,1,5250.2,1,5291,1038,1
37081011500,"F",1,1,3866.6,0.8,2964,389,1
37081011601,"F",1,1,2708.8,0.9,2453,268,1
37081011602,"F",0,1,2454.1,1.2,2981,346,0
37081011904,"F",0,1,3074.4,1.4,4265,359,0
37081011905,"F",0,0,3050.9,1.7,5077,600,NA
37081012503,"F",1,1,3003,1.4,4176,385,1
37081012504,"F",1,1,3637.4,0.9,3246,338,1
37081012505,"F",0,1,2314.7,1.9,4353,344,0
37081012508,"F",1,1,2039.2,1.6,3289,297,1
37081012509,"F",0,1,1877.7,1.2,2223,218,0
37081012510,"F",0,1,2091.9,1.5,3090,260,0
37081012511,"F",0,0,2556.7,1.9,4961,432,NA
37081012601,"F",1,1,1939.4,3,5912,450,1
37081012604,"F",0,1,2670,1.8,4908,727,0
37081012607,"F",0,0,1879.9,1.2,2301,233,NA
37081012608,"F",1,1,4185,0.6,2392,268,1
37081012609,"F",1,1,2553.5,2.9,7342,882,1
37081012610,"F",0,1,3071.6,1,3159,417,0
37081012611,"F",0,1,3008,1.2,3577,408,0
37081012612,"F",1,1,3348.8,1.8,5947,780,1
37081012617,"F",1,1,4113.8,0.8,3478,414,1
37081012703,"F",1,1,2833.6,1.9,5373,511,1
37081012704,"F",1,1,3386.3,0.9,3214,515,1
37081012705,"F",0,1,3104.3,1.3,4056,804,0
37081012706,"F",1,1,3280.7,1,3159,601,1
37081012707,"F",1,1,2526.6,1,2589,451,1
37081012803,"F",0,0,599.9,12.7,7640,894,NA
37081012804,"F",1,1,2016.6,2.1,4184,595,1
37081012805,"F",1,1,1059.6,2.4,2545,400,1
37081013601,"F",0,1,5241,0.6,3092,201,0
37081013602,"F",1,1,3517.2,1.2,4138,563,1
37081013700,"F",1,1,2450.6,1.7,4141,381,1
37081013800,"F",0,1,3418,1.4,4685,937,0
37081013900,"F",1,1,4029.1,1.1,4509,848,1
37081014000,"F",0,1,2250.5,1.4,3079,462,NA
37081014200,"F",1,1,2148.4,1.6,3503,571,1
37081014300,"F",1,1,1713.9,1.8,3045,506,1
37081014406,"F",0,1,1311.5,1.8,2337,407,0
37081014407,"F",0,1,1721,3.3,5635,581,0
37081014408,"F",1,1,2330.9,1,2326,310,1
37081014409,"F",0,1,2030.9,1.4,2893,301,0
37081014410,"F",1,1,2152.5,1.7,3591,363,1
37081014411,"F",0,1,3539,1.4,4806,620,0
37081014412,"F",0,1,1524.7,1.7,2587,332,NA
37081014501,"F",0,0,444.2,2.9,1300,218,NA
37081014502,"F",1,1,1309.5,3.4,4433,510,1
37081014503,"F",1,1,1936.7,1.8,3523,543,1
37081015100,"F",0,0,104.9,39,4097,418,NA
37081015200,"F",0,0,301.1,27.9,8412,732,NA
37081015300,"F",0,0,285.9,27.2,7791,725,NA
37081015401,"F",0,0,429.5,12.9,5527,459,NA
37081015402,"F",0,0,508.7,14.2,7211,851,NA
37081015500,"F",0,0,620.3,9.9,6111,648,NA
37081015600,"F",1,1,229.7,40.6,9324,737,1
37081015703,"F",0,0,2511.7,2.3,5863,481,NA
37081015704,"F",0,1,1445.7,4.3,6171,457,NA
37081015705,"F",1,1,2001.6,1.6,3158,234,1
37081015706,"F",0,0,1076.2,4.9,5288,434,NA
37081015707,"F",0,1,3463.9,1.9,6612,589,0
37081015800,"F",0,1,349.5,22.8,7984,615,0
37081015901,"F",0,0,230.9,22.8,5270,464,NA
37081015902,"F",0,0,308.2,11.7,3611,268,NA
37081016003,"F",0,0,436.4,9.8,4294,323,NA
37081016005,"F",0,0,587.6,2.9,1721,133,NA
37081016006,"F",0,0,1349.7,2.3,3159,228,NA
37081016007,"F",1,1,2712,1.8,4933,351,1
37081016008,"F",0,1,1494.6,4.7,7034,465,0
37081016009,"F",1,1,1304.7,2.9,3743,311,1
37081016010,"F",0,0,2239.4,1.2,2607,191,NA
37081016011,"F",0,0,1112,5.1,5627,400,NA
37081016101,"F",1,1,1894.8,2.7,5063,466,1
37081016102,"F",1,1,3078.6,1.3,3930,287,1
37081016103,"F",0,1,4587.7,1.1,5068,401,0
37081016201,"F",0,0,287.6,18.6,5352,397,NA
37081016203,"F",0,0,431.1,9.3,4013,378,NA
37081016204,"F",0,0,455.6,6.6,2985,206,NA
37081016205,"F",0,0,1839.1,2.1,3903,274,NA
37081016303,"F",0,0,1550.3,2.1,3316,319,NA
37081016304,"F",0,0,1617.8,2.3,3758,275,NA
37081016305,"F",1,1,2174.9,1.6,3538,291,1
37081016306,"F",0,1,1910,2.4,4500,342,0
37081016405,"F",1,1,541.2,3.1,1691,151,1
37081016406,"F",0,0,1115.8,3,3300,232,NA
37081016407,"F",0,0,1810.6,2.5,4577,339,NA
37081016408,"F",0,0,1630.4,1.2,1956,190,NA
37081016409,"F",1,1,919.3,2.7,2513,219,1
37081016410,"F",0,1,1668.8,3.3,5520,525,NA
37081016502,"F",0,0,643.9,8.7,5598,538,NA
37081016503,"F",1,1,1806.9,2.1,3729,232,1
37081016505,"F",0,1,3918.9,1.3,5072,335,0
37081016506,"F",0,1,2869.3,1.7,4900,373,0
37081016600,"F",0,0,173.4,14.4,2500,315,NA
37081016701,"F",0,0,456.5,11.2,5126,467,NA
37081016702,"F",0,0,230.1,15.3,3522,370,NA
37081016800,"F",0,0,503.9,13.1,6584,738,NA
37081016900,"F",0,0,176.8,26.6,4698,466,NA
37081017000,"F",0,0,94.6,47.7,4516,475,NA
37081017100,"F",0,0,473.5,15.4,7273,677,NA
37081017200,"F",0,0,172.4,40.1,6919,644,NA
37123960100,"G",0,0,112.6,57.1,6431,766,NA
37123960200,"G",0,0,77.2,95.5,7370,767,NA
37123960300,"G",0,0,34.9,112.2,3914,447,NA
37123960401,"G",1,1,69.9,30.5,2134,359,1
37123960402,"G",0,0,33.1,69.7,2306,326,NA
37123960500,"G",0,0,44.5,126.7,5643,864,NA
37151030100,"H",1,1,1217.9,3.8,4597,580,1
37151030201,"H",1,1,1968.9,1.6,3078,345,1
37151030202,"H",0,0,708.8,7.2,5078,605,NA
37151030301,"H",1,1,1319.1,4.9,6501,735,1
37151030302,"H",0,1,722.6,4.2,3041,527,0
37151030400,"H",1,1,936.4,4.5,4193,546,1
37151030502,"H",0,0,307.7,13.1,4019,459,NA
37151030503,"H",0,0,140.3,41.7,5855,574,NA
37151030504,"H",0,0,109.7,53.7,5893,590,NA
37151030600,"H",0,0,196.8,32.5,6387,748,NA
37151030700,"H",0,0,42.8,140.4,6011,620,NA
37151030801,"H",0,0,197.1,36.3,7148,751,NA
37151030802,"H",0,0,81.1,77.6,6290,667,NA
37151030900,"H",0,0,43.7,84.4,3686,476,NA
