"GEOID","CountyName","binX_full","binXstar","POP_DENS","METRO","O_POP","Y_DIABETES","binX_partial"
37067003600,NA,1,1,941.4,TRUE,5968,567,1
37067003701,NA,0,1,2328.2,TRUE,4830,474,0
37067003702,NA,0,0,2132.4,TRUE,4514,425,NA
37067003703,NA,0,0,1268.2,TRUE,6032,447,NA
37067003803,NA,0,0,764.4,TRUE,4567,430,NA
37067003804,NA,0,0,670.6,TRUE,4100,390,NA
37067003805,NA,0,1,1998.5,TRUE,5573,558,0
37067003806,NA,0,0,1064.1,TRUE,3012,275,NA
37067003903,NA,0,1,3207.1,TRUE,4477,475,0
37067003904,NA,0,1,1755.7,TRUE,5907,509,0
37067003905,NA,0,1,3266.3,TRUE,3607,303,0
37067003906,NA,0,0,2067.3,TRUE,3436,303,NA
37067003908,NA,0,0,1451.6,TRUE,3085,253,NA
37067003909,NA,0,1,2623.9,TRUE,4356,340,0
37067004005,NA,0,1,911.4,TRUE,4695,409,0
37067004007,NA,0,0,310.8,TRUE,7104,583,NA
37067004009,NA,0,0,412.4,TRUE,3802,320,NA
37067004010,NA,0,1,725,TRUE,3392,224,0
37067004011,NA,0,0,1348.7,TRUE,5645,475,NA
37067004012,NA,0,0,1543.7,TRUE,5611,472,NA
37067004013,NA,1,1,1475.2,TRUE,3083,287,1
37067004014,NA,1,1,1177.9,TRUE,3016,290,1
37067004015,NA,0,0,547,TRUE,3296,261,NA
37067004102,NA,0,0,215.9,TRUE,3256,365,NA
37067004103,NA,0,1,649.8,TRUE,3478,320,0
37067004104,NA,0,1,587.7,TRUE,3429,319,0
37081010100,NA,1,1,3720.5,TRUE,1561,253,1
37081010200,NA,1,1,3076.5,TRUE,4070,591,1
37081010300,NA,1,1,1992.4,TRUE,2426,355,1
37081010401,NA,0,0,2336.9,TRUE,1453,105,NA
37081010403,NA,1,1,2595.1,TRUE,1594,118,NA
37081010404,NA,0,1,2050.2,TRUE,2502,186,0
37081010500,NA,0,1,2035.7,TRUE,2173,161,0
37081010601,NA,1,1,3038.2,TRUE,2780,192,1
37081010602,NA,1,1,6278.2,TRUE,4592,216,1
37081010701,NA,0,0,4073.1,TRUE,1919,108,NA
37081010702,NA,1,1,6681.4,TRUE,4307,112,1
37081010800,NA,1,1,2515,TRUE,2409,241,1
37081010900,NA,1,1,3512.5,TRUE,2001,153,1
37081011000,NA,0,1,4132.4,TRUE,4768,306,0
37081011101,NA,1,1,3950.5,TRUE,4260,712,1
37081011102,NA,1,1,2232.3,TRUE,2602,581,NA
37081011200,NA,0,1,5259.2,TRUE,5391,777,0
37081011300,NA,0,1,1807.7,TRUE,2862,659,NA
37081011400,NA,1,1,5250.2,TRUE,5291,1038,1
37081011500,NA,1,1,3866.6,TRUE,2964,389,1
37081011601,NA,1,1,2708.8,TRUE,2453,268,1
37081011602,NA,0,1,2454.1,TRUE,2981,346,0
37081011904,NA,0,1,3074.4,TRUE,4265,359,0
37081011905,NA,0,0,3050.9,TRUE,5077,600,NA
37081012503,NA,1,1,3003,TRUE,4176,385,1
37081012504,NA,1,1,3637.4,TRUE,3246,338,1
37081012505,NA,0,1,2314.7,TRUE,4353,344,0
37081012508,NA,1,1,2039.2,TRUE,3289,297,1
37081012509,NA,0,1,1877.7,TRUE,2223,218,0
37081012510,NA,0,1,2091.9,TRUE,3090,260,0
37081012511,NA,0,0,2556.7,TRUE,4961,432,NA
37081012601,NA,1,1,1939.4,TRUE,5912,450,1
37081012604,NA,0,1,2670,TRUE,4908,727,0
37081012607,NA,0,0,1879.9,TRUE,2301,233,NA
37081012608,NA,1,1,4185,TRUE,2392,268,1
37081012609,NA,1,1,2553.5,TRUE,7342,882,1
37081012610,NA,0,1,3071.6,TRUE,3159,417,0
37081012611,NA,0,1,3008,TRUE,3577,408,0
37081012612,NA,1,1,3348.8,TRUE,5947,780,1
37081012617,NA,1,1,4113.8,TRUE,3478,414,1
37081012703,NA,1,1,2833.6,TRUE,5373,511,1
37081012704,NA,1,1,3386.3,TRUE,3214,515,1
37081012705,NA,0,1,3104.3,TRUE,4056,804,0
37081012706,NA,1,1,3280.7,TRUE,3159,601,1
37081012707,NA,1,1,2526.6,TRUE,2589,451,1
37081012803,NA,0,0,599.9,TRUE,7640,894,NA
37081012804,NA,1,1,2016.6,TRUE,4184,595,1
37081012805,NA,1,1,1059.6,TRUE,2545,400,1
37081013601,NA,0,1,5241,TRUE,3092,201,0
37081013602,NA,1,1,3517.2,TRUE,4138,563,1
37081013700,NA,1,1,2450.6,TRUE,4141,381,1
37081013800,NA,0,1,3418,TRUE,4685,937,0
37081013900,NA,1,1,4029.1,TRUE,4509,848,1
37081014000,NA,0,1,2250.5,TRUE,3079,462,NA
37081014200,NA,1,1,2148.4,TRUE,3503,571,1
37081014300,NA,1,1,1713.9,TRUE,3045,506,1
37081014406,NA,0,1,1311.5,TRUE,2337,407,0
37081014407,NA,0,1,1721,TRUE,5635,581,0
37081014408,NA,1,1,2330.9,TRUE,2326,310,1
37081014409,NA,0,1,2030.9,TRUE,2893,301,0
37081014410,NA,1,1,2152.5,TRUE,3591,363,1
37081014411,NA,0,1,3539,TRUE,4806,620,0
37081014412,NA,0,1,1524.7,TRUE,2587,332,NA
37081014501,NA,0,0,444.2,TRUE,1300,218,NA
37081014502,NA,1,1,1309.5,TRUE,4433,510,1
37081014503,NA,1,1,1936.7,TRUE,3523,543,1
37081015100,NA,0,0,104.9,TRUE,4097,418,NA
37081015200,NA,0,0,301.1,TRUE,8412,732,NA
37081015300,NA,0,0,285.9,TRUE,7791,725,NA
37081015401,NA,0,0,429.5,TRUE,5527,459,NA
37081015402,NA,0,0,508.7,TRUE,7211,851,NA
