"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle","msg"
"11422-579",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121287948402075,0.321428571428571,-2.25246222650242,0.00637796954234461,0.164961319973361,0.00681756250939336,-2.26069851467874,0.0077743923342545,0.166127342450176,0.00812301818779823,-2.24679484252892,0.0212381722511923,0.15898481216832,0.0225482243452064,-2.25204745332399,0.0113578460189112,0.16446464009448,0.00646448369355281,0.948864613448105,""
"11422-580",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120992775950761,0.26530612244898,-2.24819419224586,0.0068129729243473,0.15426009007927,0.00721994595189936,-2.25275670208959,0.0079654074006511,0.153966753873307,0.00830518787560277,-2.27392245701153,0.0216828405211724,0.182134815798614,0.0229664693942086,-2.24987454428187,0.0401096694813038,0.155612947900554,0.0185782454341041,0.966910040484699,""
"11422-581",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120943387805813,0.327586206896552,-2.24441410454467,0.00624609422339269,0.15336728679389,0.00669811597864563,-2.23527015522859,0.00758642854669153,0.135592808982182,0.00794577291029794,-2.23862663388529,0.0211809194809584,0.147920186719392,0.0224886260371254,-2.24173891468178,0.0123125277107147,0.15118938955466,0.00628188672078813,0.939821542729623,""
"11422-582",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121152950164565,0.258620689655172,-2.24203449220362,0.00625207453016342,0.152544082604784,0.00670305557504136,-2.24250543444877,0.00726164332641123,0.146956369801086,0.00763913944389112,-2.21820607402068,0.0192307663312505,0.134948054115733,0.0206957030121018,-2.24113206889993,0.0141196044642972,0.15150455141944,0.00696231994214242,0.956841332254813,""
"11422-583",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121584086835574,0.3125,-2.24503868294803,0.00688297462084771,0.155818846889237,0.00728280815526336,-2.23827911886116,0.00827067156007418,0.142474781355301,0.00859460119273865,-2.26025616917641,0.0213882316020212,0.1686502533774,0.0226843490713618,-2.24202345671857,NA,0.152971923981488,NA,0.954482965609044,""
"11422-584",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121574970107956,0.256410256410256,-2.24192718167535,0.00760879732357861,0.148603131219179,0.00796520224229283,-2.23895656530096,0.00880860441923442,0.141593492048947,0.00911099718260348,-2.26677923224491,0.0479463301485384,0.181072406805964,0.0484735948320614,-2.23950617697314,0.00858982877631271,0.145983522621097,0.00889355011911393,0.972091329433124,""
"11422-585",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.12113721723858,0.240740740740741,-2.25313018579519,0.00650586138174249,0.163365826249451,0.0069357098887442,-2.25587240056681,0.00747539307221272,0.16075787450398,0.00784054526853359,-2.25325852544405,0.0195366157307839,0.161042332641373,0.0209909678496957,-2.25288492649779,0.0151792908676988,0.162732719307007,0.00916926628091775,0.965063072617136,""
"11422-586",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121318961005797,0.37037037037037,-2.23577827512261,0.00646076021370974,0.145292751910537,0.00689323766089393,-2.24026087053218,0.00815653882823853,0.142564135872128,0.00848653647839343,-2.25673814178048,0.0238772813559776,0.171244115467802,0.0250050258041313,-2.23994124407293,0.00795050253950372,0.148259932130489,0.00829123405019067,0.956133717803562,""
"11422-587",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120599441122311,0.258064516129032,-2.25222688744461,0.00606639912102153,0.16080288461155,0.00653725769858676,-2.2558470198241,0.00705468254329901,0.157897402932473,0.00744740141721886,-2.25008649752222,0.0150533352833183,0.150272248044336,0.0171602191862535,-2.26058024311337,0.0156536251157178,0.167528253664364,0.00883242217141921,0.97192542845787,""
"11422-588",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120644330212932,0.262295081967213,-2.24026829602391,0.00608040252232035,0.146934938257352,0.00654899431850353,-2.2388359094405,0.0070724809131403,0.138991090890382,0.00746329667024152,-2.23199632565336,0.0192094671865001,0.142846112233979,0.0206870000424882,-2.23533896540522,0.00881137407550523,0.144052456148218,0.0045841176243094,0.93352564633222,""
