"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle","msg"
"11422-254",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108983697091122,0.292128603104213,-2.2464089939072,0.00112165823816824,0.155683904386858,0.0024840884564656,-2.24656673368917,0.00133316107053445,0.070099650799862,0.00201796513276769,-2.24059994547114,0.00346735439881733,0.153970294825263,0.00850827593518568,-2.2458154287528,0.00113685159352227,0.157059019847763,0.0027895541936796,0.416279015058513,""
"11422-255",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109030262206268,0.297418630751964,-2.24804020956514,0.00112943135003681,0.157535816164018,0.00243318776439926,-2.24812168475636,0.00134746744260924,0.072729149400311,0.00201133236621867,-2.24954477659117,0.00357699825637249,0.152059623822631,0.0076988270172649,-2.24822219162775,0.00115196839554111,0.158020501629908,0.00260210545809746,0.441968387584712,""
"11422-256",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109203278261784,0.302054414214325,-2.24397799635746,0.00112145721730122,0.152468179686788,0.00247456366229799,-2.24499084412541,0.00134312993960761,0.0696941506953625,0.0020111070701402,-2.24755796423885,0.00354362632935619,0.157715790888143,0.0078845008990473,-2.24402281392011,0.00114646539177656,0.15181699633589,0.00273695831107917,0.425709260306175,""
"11422-257",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108496807721768,0.292857142857143,-2.24953359611318,0.00111854058070221,0.15463514402197,0.00252778909917233,-2.2494027286851,0.00132998669124805,0.0669583828294812,0.00202541655270773,-2.25336408685263,0.00354067020504967,0.160148187636947,0.00798814580618956,-2.2491281142577,0.00113861246977318,0.156022833132153,0.00282505129625163,0.406115048462884,""
"11422-258",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109457043287154,0.289414414414414,-2.24395765654904,0.00112963744417087,0.154736238901878,0.00241908297842598,-2.24461676968485,0.00134029554445981,0.0744619652442237,0.00201021581462022,-2.24572707348894,0.00361144889472107,0.152052681770343,0.00744560168757599,-2.2444135126929,0.00115710222767187,0.154808373187108,0.00262553841855866,0.458558431159273,""
"11422-259",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109142212858014,0.31142061281337,-2.24576565616962,0.00112407986836926,0.156257101253831,0.00246018381324152,-2.24587397577225,0.00135468980468683,0.0688919822382293,0.00200783219741013,-2.24715915224802,0.00354335876578458,0.153703466423332,0.00790367204124168,-2.24588680180363,0.00115483908225866,0.155162391982776,0.00267371541319501,0.425108580934365,""
"11422-260",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109153933873165,0.299286106534871,-2.24341589396897,0.00111493629691268,0.154653266265702,0.0025210796817546,-2.24348157079081,0.00133192950161391,0.0665382458738617,0.00201636672668,-2.24746811859629,0.00360386554613399,0.160200415080046,0.00748396201597167,-2.24378249789471,0.00113647575952603,0.154386817662572,0.00275723125532265,0.416401267811903,""
"11422-261",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109205493089285,0.304396215915415,-2.24609697065693,0.00112349375396863,0.161226036840456,0.00246050829288452,-2.24651459830357,0.00134728642399492,0.0725158524217368,0.00200929820825661,-2.24711603913571,0.00352274179179534,0.166254535407175,0.00801980664013094,-2.24570922577434,0.00114112009608677,0.162762023257599,0.00268486587602134,0.414542069773672,""
"11422-262",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109209374736602,0.289088863892013,-2.24653985739058,0.00112977654830301,0.156758888805458,0.00242333471432539,-2.24653303058698,0.00134014505019398,0.0736961422822354,0.00201172573405904,-2.24457599823561,0.00348883342996393,0.156206142656505,0.0083188923824758,-2.246559229337,0.00115907071174177,0.157188896529201,0.00261590791469418,0.449801211513204,""
"11422-263",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109333833257071,0.288126055149128,-2.24475412883381,0.00112931756772141,0.153575183664893,0.00242248911179525,-2.24600504134219,0.00133934913047284,0.0752459804917883,0.00201104507803089,-2.25233033635142,0.0035992175549329,0.171670744438985,0.00752846891408611,-2.24469406980633,0.00115245180980379,0.153961862148022,0.00268201182871316,0.450233740531469,""
"11422-264",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108975052735701,0.320130222463375,-2.24263670368596,0.00110770061422819,0.150456499291399,0.00258654701238644,-2.24125753999699,0.00134243383468989,0.0562205383367607,0.00201463290344154,-2.24614888069493,0.00346560464106173,0.157216899769731,0.00862471110015925,-2.2423492905742,0.00113067438086238,0.151204047129365,0.00289384841341464,0.370729182391561,""
"11422-265",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108895218833847,0.283895960154953,-2.2463840465122,0.00112056690715736,0.152622897564182,0.00249283765331318,-2.24609252269556,0.00132395488438195,0.0683893891887407,0.0020227918119362,-2.24196123789783,0.00350250253809499,0.140233277632367,0.008180359823387,-2.2462379358002,0.00114492099141981,0.151767117270994,0.00268383743207502,0.434166222753891,""
"11422-266",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109129034091601,0.30391061452514,-2.24618121658111,0.00112589094105095,0.155817199031765,0.00245102554147327,-2.2468006435311,0.00134981740986479,0.0713090274413818,0.00200979328208383,-2.24100657429322,0.00351117078387679,0.156964574851309,0.00802686879405429,-2.2465996259465,0.00115622950995561,0.156052033967566,0.00265044006397371,0.435032525721491,""
"11422-267",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.10933759562896,0.291360813099944,-2.24604004441989,0.0011317007912008,0.157615749570732,0.00240737581727369,-2.24722859879964,0.00134513821267194,0.0773121965085742,0.00200834988730836,-2.24490504028228,0.00352769254159971,0.134759683664851,0.00803174623554109,-2.24673724740747,0.00115814632667894,0.156426918633804,0.00254060655854675,0.467572678248677,""
"11422-268",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109202748177471,0.294019005030743,-2.24570758584737,0.0011261486345483,0.156604854054714,0.00244750700035079,-2.24610761656246,0.00134056407672503,0.0726125257320965,0.00201250668506333,-2.24508059851353,0.0035892805857568,0.168433012753816,0.00752651990950421,-2.24575816908105,0.00115217404712078,0.156230078716053,0.00265718860658477,0.44050623471137,""
"11422-269",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109162292611478,0.316343490304709,-2.24417991202536,0.00112005366465037,0.153065040813582,0.00248538896034578,-2.24342270647487,0.00135418419417779,0.063744325644461,0.0020079456261615,-2.2448414717167,0.00361133133557985,0.158550122604205,0.00741728935519644,-2.24408523685299,0.00114616264452962,0.154034572614067,0.00274213137736423,0.404716286407527,""
"11422-270",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109203856879519,0.294972067039106,-2.24495414016063,0.00112516725789034,0.153215166148536,0.00245091322422242,-2.24497226455518,0.00134009805754187,0.0699154980862888,0.00201201352450887,-2.24420551715983,0.00361841662064176,0.159283726838982,0.00735025105355723,-2.24481748450522,0.00114521438232131,0.154185842842556,0.00271907559793802,0.432230283001584,""
