"sim","N","beta0","beta1","q","avg_prev","fpr","ppv","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-44",390,-2.245641,0.1549768,0.25,0.111776686823739,0.297397769516729,0.601990049751244,-2.24117825293128,0.00289735703356461,0.152662401698781,0.00494187265708552,-2.23797711092621,0.00345264955875647,0.0886241646878464,0.0047078186030964,-2.24305222851862,0.00585175439093983,0.145912186711318,0.00977907673376161,-2.24122389019702,0.00288744679142965,0.152831382207632,0.00501784635994976,0.601890499429786
"11422-45",390,-2.245641,0.1549768,0.25,0.110570004558464,0.262237762237762,0.581005586592179,-2.24668322823933,0.00281750426526863,0.15767116801198,0.00515947008563947,-2.24693374118119,0.00328082184020632,0.0950412956131503,0.0047235276972627,-2.2345987419982,0.00554819596097769,0.154539725769595,0.0103918532302834,-2.24552670019692,0.00279366432017727,0.161764560178952,0.00538591911660674,0.550630813314494
"11422-46",390,-2.245641,0.1549768,0.25,0.11090172776563,0.309352517985612,0.565656565656566,-2.24681763778342,0.00285856565797178,0.156848924734437,0.00504648777524909,-2.24667799319665,0.00343880123794717,0.0915839409581274,0.00472038327752995,-2.24827803481163,0.00561726721494244,0.170360030234828,0.0102431055753963,-2.24569358928366,0.00283034966717908,0.156936965407177,0.00548402614894639,0.55183060653889
"11422-47",390,-2.245641,0.1549768,0.25,0.111226761773399,0.289377289377289,0.596938775510204,-2.24812699623968,0.00288782133965484,0.163494229077605,0.00498425391434312,-2.24682153950449,0.00342554003708508,0.0982372364411608,0.0047147702424394,-2.24255066480532,0.00604375431619078,0.170133844973677,0.00946616690890028,-2.24684017917228,0.00289074680747438,0.165187964624219,0.00498737631355651,0.575145733795244
"11422-48",390,-2.245641,0.1549768,0.25,0.110601062200746,0.299295774647887,0.554973821989529,-2.24766771993439,0.00283066922699275,0.15910733563269,0.00512674639212914,-2.24577877591124,0.00337751036590171,0.0878488813424848,0.00472144811654249,-2.24593149736422,0.00546897254073452,0.155200318349829,0.0108710013574598,-2.24702526347316,0.00286480705176963,0.158593029843038,0.00515095578404405,0.549101311214529
"11422-49",390,-2.245641,0.1549768,0.25,0.110606896395114,0.254416961130742,0.597765363128492,-2.25002951446891,0.0028393617002999,0.16560725318022,0.00510921121052032,-2.25163943856179,0.00329089699625729,0.10563291882451,0.00472304414923296,-2.25470384685195,0.00541951564958969,0.175503344535291,0.011214954456872,-2.25013255574514,0.00286323002915227,0.16509449591267,0.00531735376639127,0.601371481455704
"11422-50",390,-2.245641,0.1549768,0.25,0.110281146064601,0.272727272727273,0.53448275862069,-2.2457034003864,0.00276366403379085,0.161925359722887,0.00532168737857113,-2.24619350875891,0.00324142606761095,0.0909622720557984,0.00473256917826869,-2.24607758442567,0.00562046023075659,0.170801912544979,0.0102393487291141,-2.24587671012139,0.00278516690023369,0.161365423641295,0.00530701612897845,0.538699898016645
"11422-51",390,-2.245641,0.1549768,0.25,0.111891942653402,0.27906976744186,0.647058823529412,-2.2405595309813,0.00295712982936393,0.141855444054827,0.00485563842819744,-2.23903627042742,0.0034789385489214,0.0913148290189214,0.00471047612698852,-2.2377196597525,0.00578701961561253,0.130581431364615,0.00985756761564625,-2.24049432067243,0.00297253693490497,0.141508252940726,0.00474407629571112,0.647987791834943
"11422-52",390,-2.245641,0.1549768,0.25,0.111141698831919,0.303249097472924,0.573604060913706,-2.24388889451073,0.00286052974098778,0.153445351172576,0.00503860229303079,-2.2448462155761,0.00342900229769126,0.0926643071809102,0.00471728843120797,-2.24015374559687,0.00559655466827642,0.163795862062491,0.0102502522272793,-2.24347893380721,0.0028586333239821,0.15403313217167,0.00535470446017601,0.56601455460998
"11422-53",390,-2.245641,0.1549768,0.25,0.110862768074814,0.299638989169675,0.576530612244898,-2.24388741865827,0.00286064675732841,0.145524578652288,0.00505355112394649,-2.24851826274862,0.0034250178530889,0.0953178373707205,0.00472275609030476,-2.24290752637526,0.00556681916421623,0.138944728778655,0.0104843826639858,-2.24613912376014,0.00290745328327099,0.142336273928562,0.00526178049483495,0.621131469647212
"11422-54",390,-2.245641,0.1549768,0.25,0.110989703748712,0.285185185185185,0.609137055837564,-2.25103550380897,0.00290741822682643,0.162068682889675,0.00496116115879176,-2.25294560547797,0.0034409996533413,0.105501322822193,0.00472090975448742,-2.24464946266008,0.00581493499343327,0.161840875340124,0.00978981375979961,-2.25051179066662,0.00288825148597419,0.161691924540236,0.00510233712586112,0.604497215676767
"11422-55",390,-2.245641,0.1549768,0.25,0.111607843241708,0.31021897810219,0.577114427860697,-2.24148480842928,0.00287115690248046,0.155180551735391,0.00499173551401036,-2.24093830715458,0.00345547238962528,0.0914804699549654,0.00471098274933216,-2.24119735180627,0.00571876734592438,0.156668598899659,0.00996315413783007,-2.24106373728761,0.00287607783393338,0.157368357676004,0.00502615663819003,0.563080219591609
"11422-56",390,-2.245641,0.1549768,0.25,0.111388738438414,0.295880149812734,0.608910891089109,-2.24477508704077,0.00291431194550127,0.150589776108723,0.00493297960852799,-2.24585905524332,0.0034739390441764,0.0964542541485334,0.00471928431143129,-2.24402505436166,0.0057292702439625,0.153143866172879,0.00999310207495202,-2.24436455207687,0.00291468435196192,0.15066096707146,0.0049762329857966,0.603531776739722
"11422-57",390,-2.245641,0.1549768,0.25,0.111428129977628,0.274725274725275,0.609375,-2.24250565826095,0.00287843888865242,0.152100161411635,0.00499037850471775,-2.24174054579425,0.00337766415035356,0.0939467926926042,0.00470493656544924,-2.24701638694755,0.00577918642230841,0.158851736805193,0.00991146839816534,-2.24285267877233,0.00286754581487745,0.151358948799617,0.00513872593413791,0.61740703412356
"11422-58",390,-2.245641,0.1549768,0.25,0.110893214401461,0.278169014084507,0.572972972972973,-2.24393715795757,0.00282382131998155,0.15559809891521,0.00512306631355607,-2.24397070942171,0.00332379894162428,0.0921825571697169,0.00471230086845745,-2.24719589854155,0.00546537673303653,0.153042601416854,0.0109063852352777,-2.24395241993193,0.00286284582904256,0.154870801686206,0.00514532490301272,0.576175801762416
