"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-871",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.112228577230657,0.243137254901961,-2.24133811461678,0.00297464867835381,0.148931298166984,0.00482452529692294,-2.24341817369692,0.00342335205028888,0.108230068665873,0.00469350537329362,-2.24008718565041,0.00969777361831274,0.153509287193361,0.0149655442221688,-2.2424905684659,0.003097768359544,0.148414232033276,0.00488602782379555,0.702741927242404
"11422-872",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111973897555715,0.25,-2.24743138074423,0.00295635450001402,0.164561453320713,0.00485292611091611,-2.24268752407885,0.00340536114492571,0.103716668841637,0.00469527363989119,-2.22746408457735,0.00942431787396036,0.150615419952434,0.0150336526853133,-2.24789028874568,0.00312492516711892,0.163992338332785,0.00460096416789469,0.674829036299692
"11422-873",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111611780071908,0.265384615384615,-2.24875340732894,0.00296044546871375,0.15929507500239,0.00486804385065373,-2.25060640258081,0.00345747558357112,0.110353055164968,0.00471380525072906,-2.2528521926,0.00952553334895528,0.155246785334895,0.0151918295516354,-2.24944651049951,0.00306518525490159,0.15841651071298,0.00487989700300791,0.665750477097665
"11422-874",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.112069577730895,0.277566539923954,-2.2431887400366,0.00293280277752925,0.158791541912203,0.00487729875527557,-2.24395425367086,0.00345252656213018,0.105117242784679,0.0047012346666995,-2.25105092181372,0.0109737797374492,0.168124110598684,0.0147332992770421,-2.24342630370031,0.00300965186360989,0.157866081310569,0.00489760600270089,0.641548215225531
"11422-875",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111988090056022,0.288537549407115,-2.24893977424607,0.00299925779350498,0.161210513655267,0.00480758346616608,-2.24511415118724,0.0035513264474245,0.101238147913497,0.00472735574099353,-2.25358363334595,0.00887880836942161,0.174430317637276,0.0164607466817993,-2.25021853572721,0.00320937381757138,0.160586453459591,0.00464136641115916,0.669350363700556
"11422-876",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111619061121401,0.225563909774436,-2.24488983465354,0.00291901354825493,0.15592013379217,0.00491081902203365,-2.24567378671456,0.00331810397891231,0.109373623667554,0.00469473858732909,-2.23844801428599,0.00930242505213478,0.17066953336053,0.015236766941842,-2.24385154406238,0.00294479775878108,0.15887408009981,0.00530352850054832,0.647042196146551
"11422-877",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111445949437624,0.272388059701493,-2.24467432363105,0.00290712324868436,0.153126958684634,0.00493681455223189,-2.24447972713436,0.0034092176328769,0.0980803952715777,0.00470513256066457,-2.24947824044991,0.00953072550048165,0.180056992865545,0.0150341160589235,-2.24568954008666,0.0030471591424882,0.152879802068499,0.00517850475995147,0.640059926280673
"11422-878",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111567345399493,0.246153846153846,-2.25129364277073,0.00295969318445826,0.165204264522911,0.00485867295012988,-2.2524105244039,0.0034109228046297,0.115783898998795,0.00470095124746542,-2.2554372990248,0.00858060719807485,0.168026639940588,0.0176765703037375,-2.25108260654863,0.00302557109389902,0.165560534357255,0.00512585226748411,0.666099494419615
"11422-879",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111833078646174,0.294339622641509,-2.24344223103261,0.00292195244580643,0.155992291347879,0.00490053871672411,-2.24285341526798,0.00347700273431475,0.097852142371529,0.00471046077379619,-2.23255850722535,0.00910445565146592,0.164386994173248,0.0155425506006821,-2.24289684023798,0.00305391478461318,0.157197566430863,0.00502921036934031,0.60411693181547
"11422-880",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111642658029943,0.256410256410256,-2.24151039596723,0.00287619974827855,0.155061606741575,0.00497690054753589,-2.24593120764257,0.00334139855867974,0.108699122512271,0.00469493029085724,-2.219032995605,0.00923238366311381,0.146360226452699,0.0152017922456389,-2.24224811414115,0.00295036152514218,0.153993053967309,0.00532068699420019,0.640232266921599
"11422-881",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111310371259647,0.231939163498099,-2.24820090479266,0.00294081945383714,0.153886016351353,0.0048979179643307,-2.2475160158892,0.00335458949911671,0.105176879448074,0.00470412547877395,-2.24427801770442,0.00991801658953088,0.152545683876539,0.0148191945048798,-2.24822759958306,0.00300105144693773,0.15465617789645,0.00495274334253846,0.672216434102988
"11422-882",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.112133356369978,0.214007782101167,-2.2432394148848,0.00296956820984575,0.153804361305668,0.00484291553453716,-2.24572751576102,0.00335434371958151,0.115983264516458,0.00469270866680216,-2.26470971137899,0.00894319439499231,0.17124884974513,0.016625455298419,-2.24325143861736,0.00306754326145986,0.153235297162782,0.0049756717751609,0.710250892828201
"11422-883",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111423210860566,0.264150943396226,-2.24659043855652,0.0029244508118184,0.154520377090372,0.00491261932529794,-2.24575240618112,0.00340814810421938,0.100034290088478,0.00470534605505814,-2.23553697625705,0.00912224877157587,0.142825863450034,0.0156802399063375,-2.24667797681997,0.00305482271100987,0.152870293999281,0.00493530492230678,0.649411732716432
"11422-884",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.11096321369439,0.24468085106383,-2.24468397970866,0.00283548950791254,0.157158981927403,0.00509136921373627,-2.24219075535353,0.00325969775482038,0.0936240819823114,0.00471466501301434,-2.24606045628608,0.00870585853005662,0.147012555652372,0.0171281155761741,-2.24438893801666,0.00290951615983145,0.158021108623313,0.00529388500545194,0.602990117966083
"11422-885",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111547315719214,0.229885057471264,-2.24511875292936,0.00294517803275381,0.148957107116039,0.00487860922401194,-2.24294425234891,0.00335247715812756,0.099750829334027,0.00469673505450252,-2.25752296788465,0.00888616591692585,0.165368828422848,0.0165280453160776,-2.24389729408514,0.00303408688146515,0.149614685092894,0.00509994245727408,0.66292135747533
"11422-886",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111586807645864,0.271375464684015,-2.2455520316955,0.0029057602610576,0.160363158718015,0.00494343506265896,-2.24778511530212,0.0034075541397514,0.107273700110933,0.00470700212923364,-2.24258498283975,0.00884366893660677,0.151595439782688,0.0164983890015557,-2.24672268372283,0.00302791052070701,0.159375349723479,0.00499588002905629,0.642233526966559
"11422-887",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111266818586096,0.192452830188679,-2.24973231016503,0.00293372382601534,0.159357635964498,0.00491708399067444,-2.24933043134751,0.00326283709553762,0.114963598870014,0.0047126990107792,-2.24589697926723,0.00868580312815978,0.149113729420697,0.0170999946199766,-2.24920294443327,0.00302191513277062,0.160916828611545,0.00487863816840867,0.695767686698221
"11422-888",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111689914556595,0.253787878787879,-2.24381587943391,0.00293016980801781,0.152251023432553,0.00490205498947147,-2.24474466448777,0.00339394602426983,0.103756118980263,0.00470228321735419,-2.24055488212633,0.00852957617159035,0.157979675112686,0.0177252016255054,-2.24541490314789,0.00313627500343345,0.15124382065195,0.00500745255905543,0.678602946370099
"11422-889",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111506171173801,0.231939163498099,-2.24965331379447,0.00294314925972457,0.162723358898501,0.00488766933713443,-2.25063252670881,0.0033617657840214,0.114597309261011,0.00470071170955038,-2.23514758170639,0.00948944072083086,0.153707486589578,0.0151002801655474,-2.2489762694225,0.00307094418900417,0.163022675397312,0.00468068318640767,0.665786061784157
"11422-890",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.112229855818782,0.282945736434109,-2.24361127108018,0.00296329048776226,0.158351111711552,0.00483993249310894,-2.24413003499578,0.00350005585933318,0.105760291325529,0.00471133863318987,-2.25339819875228,0.0099830412464766,0.155833697138058,0.0149269472907862,-2.24527485985215,0.00308923104407787,0.157286859156377,0.0047725461371478,0.66802235745514
"11422-891",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.112082310170094,0.286274509803922,-2.24721900479719,0.00298346589763071,0.160947858432322,0.00482329044526468,-2.24968636269658,0.00353575391467026,0.111649779819128,0.00472307431882666,-2.23870091625853,0.00948218273153999,0.159654153207447,0.0150731204692067,-2.24636179922633,0.00309539119527668,0.161128138451004,0.00485089157919772,0.638370464866073
"11422-892",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111581645179459,0.247232472324723,-2.24152377636236,0.00288842376060451,0.150980749973043,0.00496475081789642,-2.24264062185175,0.00333103850644839,0.101468556017276,0.00469860793655671,-2.23830417146442,0.00914587242989289,0.167261379732598,0.0155386724323555,-2.24331594878157,0.00307650370374462,0.149582062801827,0.00528077987402847,0.670534593226632
"11422-893",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111914372166821,0.176029962546816,-2.24193621076379,0.00291121030332029,0.156304660053055,0.00491577655839503,-2.24197551070727,0.00320679123364221,0.115684605440988,0.00470317628338638,-2.24747666382811,0.00870849760017836,0.178802602634191,0.0169990161169266,-2.24148163195544,0.00302623539457747,0.155615122805763,0.00503079505394219,0.720467427025535
"11422-894",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.11186555765928,0.221789883268482,-2.24623482608972,0.00296878320098526,0.155656749074098,0.00484130705479231,-2.24881960354157,0.00337034729216178,0.11631834688353,0.00469251689264902,-2.25168590078629,0.00902256175590805,0.143675109770207,0.0161726399348305,-2.24676247330058,0.00308875443536844,0.155156555974052,0.00475808208769655,0.709274956638766
