"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-566",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111120553929188,0.27734375,-2.2457331127699,0.00121561754481144,0.152683581902014,0.00209977295629606,-2.24569045094852,0.00142977805938635,0.095730080347962,0.00198386921906442,-2.23796167232795,0.00382147247806195,0.13512329827182,0.00667069007913632,-2.245881276675,0.00124903563218515,0.153104651045546,0.00216312705155645,0.609341651480084
"11422-567",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111191111874262,0.251485148514851,-2.24649859585604,0.00122440721358024,0.152411222487633,0.00208438970634953,-2.24615053489548,0.00141494906651935,0.0999037397757196,0.00198214687878838,-2.25355955412558,0.00400670351176444,0.156965774002791,0.00640980342996219,-2.24657192290848,0.00126061067641022,0.151996560181427,0.00211812843198951,0.645526396097346
"11422-568",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111490921193962,0.25708635464733,-2.24499930040778,0.00122204614279206,0.156297839820293,0.00208127564700302,-2.24537233619637,0.00141805985967748,0.1029851682229,0.00197912400639553,-2.24827667695616,0.0038001380402269,0.154661073639961,0.00673779712497039,-2.24548747524494,0.00125972974107176,0.155811359864681,0.00210160477418449,0.644959269141225
"11422-569",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111574158881588,0.257352941176471,-2.24545191675636,0.00123128304621305,0.155363335768495,0.00206755877221257,-2.24507614903356,0.00142842527250804,0.102433532763956,0.001979930313203,-2.24964161780167,0.00384410585183014,0.159145478117162,0.00664493877077533,-2.24570800865388,0.00126790564466803,0.154611203115221,0.002102805282604,0.653062303268568
"11422-570",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111680147204435,0.2559081701553,-2.24598321261907,0.00123783482417291,0.156456847615679,0.00205715501500047,-2.24600795293153,0.00143507728423039,0.105201368617189,0.00197988065216074,-2.24540944958437,0.00386573126710328,0.15741648986653,0.00659451021166737,-2.24612855503035,0.00127671838034552,0.155589131186069,0.00207412447252589,0.660566973113693
"11422-571",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111779253827292,0.260692464358452,-2.24560114058171,0.00124110906249526,0.156245429171365,0.00205185104098554,-2.24581497255416,0.00144362338835888,0.105351024923674,0.00198052802980594,-2.24153003412748,0.00386807268156744,0.16207104278567,0.00654841017617597,-2.24552441815176,0.00127803255872037,0.15689163347868,0.00207014824511865,0.650585855487162
"11422-572",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.11163879222475,0.24510465901418,-2.24548659976587,0.00123767930512479,0.154148130705327,0.00205771388901517,-2.24503223314903,0.00142447640893581,0.104143819074115,0.00197883613610116,-2.24738101025153,0.00387847399093606,0.152734327179916,0.00657960022676654,-2.24548399752657,0.00127046810527033,0.153513245931416,0.00208469963272762,0.667458197336588
"11422-573",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111450610295556,0.251673360107095,-2.24556071756494,0.00123272380500496,0.152135290358612,0.00206842257203841,-2.24456062053654,0.00142434486287323,0.0999482749642774,0.00198090944747415,-2.24555239748889,0.003996769932502,0.155846100768626,0.00639264236585766,-2.24518344571656,0.00126590854974189,0.151960854144638,0.00210868848673296,0.648443208192532
"11422-574",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111669651531831,0.255940257976918,-2.2449882448908,0.00124065909431324,0.151979074715257,0.00205353980166079,-2.24350557786728,0.00143722777820232,0.0998368314990818,0.00198012598040566,-2.24792035678023,0.00393213400865552,0.154025549037698,0.0064908530181134,-2.24453411351057,0.00127514491802893,0.151914381837561,0.00208126641237731,0.652911558501389
"11422-575",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111587392796747,0.261371350984386,-2.24710376756891,0.00124171936984253,0.155622635682815,0.00205249300498227,-2.24779016192653,0.00144569171371925,0.105713641220545,0.00198154480934946,-2.24562327774007,0.00396510080811668,0.158591765239652,0.00641647767741104,-2.24685475291335,0.00127224348574469,0.155624587754651,0.0020817966874903,0.65065337736516
"11422-576",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111797298742321,0.249491525423729,-2.24522238448869,0.00123985972551567,0.155999195010104,0.00205293299973939,-2.24557745964814,0.00143136342946102,0.106815423423592,0.00197855776871451,-2.24843819431419,0.00381960406125767,0.160818807822407,0.00669997254126168,-2.24500210377335,0.00127429360232523,0.156098284775035,0.00207452390211595,0.660128135960617
"11422-577",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111521926842711,0.234185733512786,-2.24635164093682,0.00123614450110388,0.154583072139173,0.0020614484466407,-2.24687641872537,0.00141285735976741,0.107593017263887,0.0019788569688808,-2.25218181721379,0.0039542048850283,0.155409408823659,0.00648332266192361,-2.24680018038153,0.00126804573453629,0.154821456966307,0.00208134023387138,0.677049723499931
