"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_srs","se_beta0_srs","beta1_srs","se_beta1_srs","beta0_bcc","se_beta0_bcc","beta1_bcc","se_beta1_bcc","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_resid","se_beta0_resid","beta1_resid","se_beta1_resid","ppv"
"11422-152",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111638091687885,0.317966101694915,-2.24665585008425,0.0012897502032177,0.154196574770048,0.0020692480365506,-2.24664307440948,0.00129173959310109,0.154314115484508,0.00208104847643962,-2.2464263736258,0.00128912912172633,0.154583282551992,0.00208127074338109,-2.24650677775672,0.00130213818958367,0.154317712042827,0.00208606083386193,0.607202680067002
"11422-153",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111670781673087,0.306756756756757,-2.24543346678771,0.00127553893228688,0.156605508823845,0.00209736504568845,-2.24564861359721,0.00127958507801193,0.156603667695563,0.00210714296825699,-2.24571713149968,0.0012798013576943,0.156237190439506,0.00209197668140887,-2.24555473850245,0.00128924046349213,0.156583458194427,0.00211478033032093,0.613287904599659
"11422-154",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111668581431119,0.305084745762712,-2.2471776495341,0.00129397538598593,0.156579363359289,0.00204780161498685,-2.24694365127633,0.00129772474573149,0.156834771315975,0.00204793267377949,-2.24693053330437,0.00129193697317315,0.156771854772594,0.00204653920958861,-2.24705076992588,0.00130629558496678,0.156596060348456,0.00204924253678428,0.617021276595745
"11422-155",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111729130414442,0.305745554035568,-2.24763372270932,0.00128758591455893,0.157897790832909,0.00205555779368531,-2.2473778039553,0.00129380436956702,0.157965266895483,0.00206015805370797,-2.24739830075403,0.00128988983550624,0.158213447136194,0.00205752609947134,-2.24736094360605,0.00129963359777262,0.158168354004954,0.00206519984126447,0.622784810126582
"11422-156",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111624128583867,0.291417165668663,-2.24451742235675,0.00126780254355439,0.156048756262067,0.00211137682857009,-2.24462859513812,0.00127080714105485,0.156247048152874,0.00211905031526686,-2.24474887648677,0.00126443419894062,0.156031662580403,0.00211872414670389,-2.24465467275331,0.0012787956960575,0.156080575426758,0.00212459661394277,0.614096916299559
"11422-157",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.112126745866788,0.298196948682386,-2.2443613595102,0.00129353357281555,0.155876477750647,0.00205626915915497,-2.24432776083377,0.00130063482240118,0.155724024759716,0.00205797065875908,-2.24459451941926,0.00129696422293112,0.155896312547366,0.00205818175478431,-2.24448295437355,0.00131163803122431,0.15589797138026,0.00206599302496352,0.638047138047138
"11422-158",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111830594777494,0.32875772134523,-2.24538401553842,0.00129729368788903,0.153612899004056,0.00206627759010578,-2.24562730143719,0.00130171983439808,0.153544146593811,0.00205973147339059,-2.24524145339123,0.00130016326306099,0.153882044874444,0.00206362738452074,-2.24553330153195,0.00131495437501242,0.153535487692329,0.00207131712231506,0.608019639934534
"11422-159",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.112089321337736,0.294318959616701,-2.242386349032,0.00128337888729133,0.153826029242161,0.00208200550091524,-2.24223355050677,0.00128593536242601,0.154171127817851,0.00208284925036684,-2.24214021814954,0.00128346974089805,0.15417032662096,0.002084237426014,-2.2420207800501,0.00129722400506185,0.154230979000153,0.00209560807250342,0.632164242942686
"11422-160",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.112038458542486,0.294117647058824,-2.24521047458332,0.00129543067703014,0.156919313413369,0.00204933851838952,-2.24496900972998,0.00129785372045488,0.157406584589991,0.00205673188250499,-2.24480242164329,0.00129389699781576,0.157577448381064,0.00205548320690948,-2.24490602894814,0.00130533611167239,0.157346026213552,0.00206270314853934,0.639830508474576
"11422-161",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.112122475233705,0.306338028169014,-2.24533745602906,0.00131165575857663,0.151682811329263,0.00203336376104072,-2.24515728091204,0.00131747681376352,0.151697739592838,0.00204029586454442,-2.2453324255313,0.00131247837751903,0.151642413373423,0.00203863573344627,-2.24539290989935,0.00132897973468865,0.151544287240239,0.00204265023260032,0.641975308641975
