"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-206",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111861925688766,0.285232636547539,-2.24253888117748,0.00123498166240528,0.151743513832461,0.00205808817126974,-2.24294033942079,0.00146102165311941,0.098830506125495,0.00198311991261334,-2.24207653587025,0.00250313015352756,0.153058106777298,0.00406689864241953,-2.24298741266547,0.00126524788638611,0.151747281694396,0.0020801704402271
"11422-207",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111746531405299,0.29254955570745,-2.24592836305477,0.00124511621220258,0.154252863756791,0.00204701328449602,-2.24679654810289,0.00148082295231051,0.101861353527715,0.00198847270635143,-2.24343714938593,0.0024697901525199,0.156187963377841,0.00411368070387476,-2.24559600036024,0.00127042429909316,0.154535341766075,0.0020686352000545
"11422-208",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111592560002056,0.298780487804878,-2.24661903671572,0.00124064855954757,0.155040138821713,0.0020552482567903,-2.24681856675178,0.00148191690325459,0.099510397525152,0.0019900730060887,-2.24646133412425,0.00243395400107406,0.157410090666128,0.00418750008579569,-2.24701883798554,0.00127880498803755,0.154482569484055,0.00205302019862891
"11422-209",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111697804153758,0.297829036635007,-2.24576278660479,0.00124058263368412,0.154868640091848,0.00205275057508085,-2.24515927953697,0.00147987406784686,0.0982402837520408,0.00198838230329192,-2.24630100804999,0.0024601073533555,0.152177099394404,0.00414667701550818,-2.24611487684668,0.00126614757595716,0.155025470960469,0.00205899578238064
"11422-210",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111608525622226,0.28580946035976,-2.24526159753073,0.00122888017690477,0.156685637844508,0.00206945396746587,-2.24560638035057,0.0014542715597413,0.100604426570932,0.00198316551932413,-2.24885571612413,0.00244756350599832,0.156083707486712,0.00417724603368891,-2.24558091664791,0.0012532873485391,0.156851252434516,0.00208656696310635
"11422-211",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111687979073686,0.299661016949153,-2.2460398964459,0.00123981011866173,0.15556620895506,0.00205321217567365,-2.24461504685371,0.00148037994075911,0.0968685366112256,0.00198829775642954,-2.24737908398662,0.00242136354397331,0.15822826834443,0.00421440887228394,-2.24557914206658,0.0012654327126372,0.15543164074998,0.00207324356617492
"11422-212",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111576345396821,0.315297261189045,-2.24687068099892,0.00123176586253428,0.15966568634556,0.00206695117166461,-2.2471927423766,0.00148873779343272,0.099131078757928,0.00199199756626608,-2.24623850352189,0.00249416829440317,0.158710935358485,0.00408740737180727,-2.24718505424138,0.00126301520260011,0.158877486720067,0.00206777816681984
"11422-213",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.11152841638955,0.305890227576975,-2.24518334539161,0.00123187893971126,0.152988128283974,0.00206714154496852,-2.24665547446553,0.00147982226303261,0.0982826022374383,0.0019897418265401,-2.24269944984793,0.00245919980157925,0.158328272557698,0.00412519836498884,-2.24524255328773,0.00126025537308151,0.152676888728261,0.00209373459876054
"11422-214",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111713844648388,0.31237322515213,-2.24505745644245,0.00123785469144938,0.154325894889789,0.00205581946122474,-2.24534960300416,0.0014924969359711,0.0974240086993462,0.00199174301758443,-2.24664073344558,0.00244967039120289,0.158014703210925,0.00415844437228758,-2.24548744939048,0.00126755905354181,0.154700292081623,0.00207019974235243
"11422-215",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111645862293996,0.297945205479452,-2.24838699355141,0.00124839333159754,0.157925351267915,0.00204586656947284,-2.24815638723751,0.00148987081800536,0.101880191941627,0.00199213351022322,-2.24980587726425,0.00248486428124167,0.162059605143355,0.00410849057844768,-2.24804285867475,0.00126853551695164,0.158266475330074,0.00206111196086619
"11422-216",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111607156530394,0.322866894197952,-2.24669246212917,0.0012451944422531,0.153438138058991,0.00204961085813448,-2.2466791278658,0.00151313413799286,0.0961194652973088,0.0019993841388686,-2.24937946807686,0.00254758152967901,0.15558255915777,0.00403664130943991,-2.24668997723982,0.00126525320746064,0.154082549382708,0.00207191066252681
"11422-217",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.11129460684725,0.28957783641161,-2.24674764414493,0.00122405950066513,0.156041186519902,0.00208255512548617,-2.24701072883182,0.00145219685644992,0.0984586322082933,0.00198545870985736,-2.24374569780472,0.00246507309937632,0.152336751386465,0.00412194054601526,-2.24672477281661,0.0012492911341316,0.156477769859069,0.00209441420621685
"11422-218",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111355607085659,0.301324503311258,-2.24618901880037,0.00122647289778116,0.154726348140932,0.00207877426780626,-2.24678846305677,0.00146790455785671,0.0971945439281962,0.00198855249406188,-2.24973422008986,0.00246745090777147,0.156716549391379,0.00413956012713146,-2.24630201270973,0.00125047023559718,0.154552761124202,0.00210265793616528
"11422-219",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111376777956812,0.293766578249337,-2.24583322021902,0.00122618234247837,0.15384072611146,0.00207715465138333,-2.24600331290653,0.00145950982583861,0.0968341276935096,0.00198588293389183,-2.2438856590862,0.00244385499489666,0.149738063587529,0.00416740516453417,-2.24590898691027,0.00124804095622408,0.154275676146406,0.0021101492306912
