"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-168",2200,-2.245641,0.1549768,0.1,0.8,0.113086065721864,0.17357910906298,-2.24643136027103,0.00132064981435273,0.156418132874594,0.00197641266563458,-2.24642321498779,0.00145277907360425,0.126854857794714,0.00197223570249422,-2.24902556635728,0.0045094917989784,0.157147477367762,0.00619441293883633,-2.24640760544714,0.00134683042818782,0.156515360803955,0.00194643919989594,0.798207839099979
"11422-169",2200,-2.245641,0.1549768,0.1,0.8,0.11295971787655,0.165396341463415,-2.24678296279527,0.00131532793219965,0.156283552550323,0.00197912124722293,-2.24756906912677,0.00144034310359784,0.128924515354476,0.00197028854208809,-2.2461942339643,0.00429869802202102,0.15378622816926,0.00620354698746416,-2.24715105846103,0.00134130460401712,0.155669605124782,0.00195093756798779,0.811661448591924
"11422-170",2200,-2.245641,0.1549768,0.1,0.8,0.113118723301493,0.187355435620663,-2.24537602858519,0.00132236689169812,0.153922437279997,0.00197513732713361,-2.24491536736633,0.00146659526709231,0.122374959928976,0.00197499733651178,-2.24485718936921,0.00422343256236709,0.153844276638827,0.00622053351532195,-2.24519616725837,0.00135309836495971,0.153397004310577,0.00194351570406295,0.788658520797557
"11422-171",2200,-2.245641,0.1549768,0.1,0.8,0.11311495024163,0.160246533127889,-2.24632896162296,0.001322662922841,0.156130425586376,0.001975485652328,-2.2467606111791,0.00144363684438689,0.129483528488395,0.00197025249285658,-2.24862029839101,0.00416865621972309,0.158659869288042,0.00626078689195368,-2.24626486916546,0.00134958987374328,0.15654126274713,0.00194120869484214,0.809411384963126
"11422-172",2200,-2.245641,0.1549768,0.1,0.8,0.112954335591968,0.174242424242424,-2.24565459732646,0.00131135231661068,0.154906157939106,0.0019817540524139,-2.24511252971283,0.00144294084513305,0.123687168814632,0.00197142640446849,-2.24986892480206,0.00392343808467822,0.156954967891467,0.00652181490443417,-2.24555343314622,0.00134447123794912,0.154874297348466,0.00194751184753478,0.791824814938164
"11422-173",2200,-2.245641,0.1549768,0.1,0.8,0.112555129295756,0.16962962962963,-2.24647468560555,0.00129680709858425,0.153528544962604,0.00199294622763993,-2.24642976430854,0.00142290523882674,0.122807922521098,0.00197117538327844,-2.24405095186338,0.00419162775605354,0.144987939461961,0.00625130471199152,-2.24628624643638,0.00131586289566665,0.153673038644821,0.00198547728742975,0.784554944485969
"11422-174",2200,-2.245641,0.1549768,0.1,0.8,0.112656144412606,0.169910179640719,-2.24805559237259,0.00130470564671983,0.157046463572149,0.00198709923932986,-2.24844253332952,0.0014324128820692,0.127090997647644,0.00197124412076149,-2.24753041272493,0.00398627780159673,0.146795567907323,0.00642531307882074,-2.24839164352231,0.00133550423464816,0.156587491829454,0.0019531246156413,0.798616468098912
"11422-175",2200,-2.245641,0.1549768,0.1,0.8,0.112849807350354,0.148203592814371,-2.24639097055152,0.00130324348385738,0.157198804761617,0.00198563305270337,-2.24602561797778,0.00141203887612311,0.128953011420423,0.00196740912480904,-2.24384616328646,0.00397633853585811,0.156260801148437,0.00639636953686458,-2.24628562463778,0.00132897348257355,0.157131043320283,0.00195490317971429,0.812497576936357
"11422-176",2200,-2.245641,0.1549768,0.1,0.8,0.112617910175289,0.170118343195266,-2.2478721893858,0.00129665330508314,0.158559047428153,0.0019917833103404,-2.24795601685372,0.00142356100086106,0.126929943994933,0.00197041768749125,-2.2492242000049,0.00413067861686547,0.167299555931883,0.00625795054883069,-2.24766439806568,0.00132658716364714,0.157967048065351,0.00196798261974453,0.787228627340589
"11422-177",2200,-2.245641,0.1549768,0.1,0.8,0.113049219918661,0.168339768339768,-2.24824322673122,0.0013252307650053,0.158566160407812,0.00197511900694579,-2.24772351187686,0.00145276988277957,0.128732014568791,0.00197242713080301,-2.24795543579789,0.0039335933380236,0.160019878191584,0.00648197056352802,-2.24793496469366,0.00135718525325238,0.158605091156497,0.00193790344598518,0.801860197833884
"11422-178",2200,-2.245641,0.1549768,0.1,0.8,0.112821764612328,0.166916167664671,-2.24546195851328,0.00130273244589077,0.154467848602797,0.0019861308954322,-2.24609233724542,0.00142771895709589,0.12587840040135,0.00196928094373027,-2.24644758165172,0.00411550364578195,0.15656330321178,0.00628348816013057,-2.24553442327228,0.00133650309244754,0.153821429336458,0.00195617855901979,0.799378611056358
"11422-179",2200,-2.245641,0.1549768,0.1,0.8,0.113157203384107,0.158828064764842,-2.2441962032189,0.00132097704664751,0.152022871001536,0.00197480610846909,-2.2432260072929,0.00143976531739222,0.123616702819057,0.00196865755165638,-2.24654556588043,0.00430690457868901,0.154084765044253,0.00619592673648699,-2.24364361971855,0.00134446771128455,0.152080088089754,0.00193964494951935,0.806715232734698
