"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-31",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.112057921400836,0.309691011235955,-2.24656805793133,0.00126319792589153,0.155964875916077,0.00202509048332598,-2.24631346323948,0.0015202884291419,0.101764073263214,0.00199926972673218,-2.24634717336076,0.00178118410604188,0.155108468156093,0.00286991599299632,-2.2460130908914,0.00126836997554651,0.155944362651836,0.00201712137927691
"11422-32",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111228576314599,0.297439264609324,-2.2468486566574,0.00122133409180081,0.156178619340204,0.00208861759912539,-2.247307852318,0.0014574158214227,0.0973202159052738,0.00198721703700003,-2.24825023392666,0.00174691688719731,0.156692710741177,0.00292345413773694,-2.24717808696795,0.00122654787742781,0.15624794866194,0.00209608596663199
"11422-33",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111399953283257,0.303311258278146,-2.2453405518488,0.00122554038271383,0.153378553426319,0.00207849920443541,-2.2468682544413,0.00146931247582752,0.0978017976836374,0.00198816605297775,-2.24543774595384,0.0017280896255848,0.153986879791205,0.00294981236991592,-2.24585842868311,0.0012349890247529,0.153587889831974,0.00209039101432624
"11422-34",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111531266527582,0.289738430583501,-2.24573572451455,0.00123337527742576,0.154049098509434,0.00206463727244152,-2.24677768335111,0.00146406870077744,0.100426988128022,0.00198578155349857,-2.24549537108057,0.00172953655299869,0.155732071724589,0.00294424258407647,-2.24574783104471,0.00123965175743301,0.154431725307119,0.00207897090376604
"11422-35",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111365737948703,0.307128580946036,-2.24780405873079,0.0012305351512872,0.157809731379373,0.00207144830899969,-2.24759129416053,0.00147800921811131,0.097674957503704,0.00199032350941369,-2.2472026225606,0.00175356250227743,0.155843258269044,0.00290855967981615,-2.24759477808496,0.00123622126451252,0.158114817121759,0.00207211593946536
"11422-36",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111797892840801,0.296397008837526,-2.24514258286627,0.00124094373723486,0.155008606189092,0.00205088872196687,-2.24532371097902,0.00147954531700213,0.100030792228756,0.00198765634999132,-2.24335483657885,0.00176413167733927,0.152466281090806,0.00288307985578737,-2.24469276668677,0.00124152196070635,0.155139984232746,0.00206159550979463
"11422-37",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111904845481164,0.296928327645051,-2.24549936962515,0.00124395969297342,0.15739054469082,0.00204536100583846,-2.24478388251586,0.00148307035073509,0.100423990801848,0.00198771230417935,-2.2454613681752,0.00178060519512915,0.157290798128971,0.00286447483686274,-2.24543141714549,0.00125098618973272,0.157410303855918,0.00204518697992245
"11422-38",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.11162966754207,0.278002699055331,-2.24638711016129,0.00123759117190971,0.156454486174686,0.00205815092807585,-2.2465737186787,0.00145680018859205,0.102518137251301,0.00198382543287883,-2.24476964275358,0.00175797931141182,0.156349631320818,0.00289317940150974,-2.24606552318302,0.00124085652756629,0.15621021788444,0.00206364848552283
"11422-39",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.11190139653784,0.299384825700615,-2.24576547936674,0.0012450737781784,0.157619521800239,0.00204397269972324,-2.24520370433653,0.00148669291369783,0.100778782741811,0.0019886682223794,-2.24549608569784,0.00177812074172194,0.157635237588425,0.00286697979488796,-2.24579305307851,0.00125755036556244,0.157549946126558,0.00202913213645221
"11422-40",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111695924553613,0.292005420054201,-2.24505616977622,0.00123937390908466,0.153262641019293,0.00205505137513874,-2.24505626569999,0.00147256349219755,0.0988166791963808,0.00198690719199004,-2.2415653005016,0.00174592612533954,0.148554897922146,0.00291152204176139,-2.24505900782099,0.00124899150514937,0.153084506065431,0.00205292013843711
"11422-41",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.112058361297447,0.318466898954704,-2.24506040597214,0.00125688319923001,0.154022862605481,0.00202970791648538,-2.24432539104587,0.00152165891524283,0.0979234403537434,0.00199914365565729,-2.24228094199602,0.0017527569862587,0.150219743417408,0.00290054801069871,-2.24509858481787,0.00127116796729579,0.154151188230206,0.00201612747771011
"11422-42",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111648366484197,0.288331071913161,-2.2463482190687,0.00124065810585387,0.155266036545937,0.00205281361380258,-2.24711336303535,0.00147150138062153,0.102075602122055,0.00198635221055107,-2.24775256082855,0.00176059013604817,0.155378503132535,0.00289754724797516,-2.24658189488538,0.0012507250561289,0.154945857314319,0.00204659514141968
