"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","msg"
"11422-21",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.674556213017751,0.114454269331825,0.413855970829535,-2.277093022915,0.00165074659141468,0.173740486913096,0.00196173062503176,0.147152710447645,0.00598377092139143,0.78404729344007,0.0712980567962064,0.92970381058697,0.413754676127262,-2.27788546666272,0.00209665527607361,0.124129533266345,0.00221324445198417,0.164993426901104,0.0059997105705385,-2.27944262167552,0.00545500999624991,0.169028968041863,0.00626409518528261,0.160283397189524,0.0193181720467421,0.824885303379607,0.207855242570361,-0.837475387404715,1.08596080429086,-2.27660906533261,0.00176794525014052,0.17350130666722,0.00639701355085207,0.14753930148875,0.00192858158294853,0.772461387441116,0.0751344022127754,0.88857576964167,0.428152213802593,""
"11422-22",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.668965517241379,0.11417348513191,0.40400363967243,-2.27683483275563,0.00162852926836652,0.174448900537808,0.00196290242712153,0.134829646516593,0.00635822917851411,0.827695779601611,0.0710925971579551,0.748366521832674,0.418054151468834,-2.27924888127418,0.00204175960413455,0.128117886642346,0.00219865836477818,0.151315943394383,0.0063567370082179,-2.28139972625853,0.00482244790412456,0.173481073160915,0.00628906580015139,0.130726837125402,0.0190686552712064,0.319326910464427,0.234473431012686,3.43158948615011,1.56914104725448,-2.27718423608071,0.00176442027530842,0.174880062360333,0.00702589821907294,0.13708497433282,0.00193379021925316,0.833791852237774,0.0761473519717553,0.636757785714174,0.430835044914562,""
"11422-23",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.680272108843537,0.114518607038709,0.414746543778802,-2.28140865704852,0.0016574522134468,0.181413436173715,0.00196308359214292,0.144745231522575,0.00611561147830328,0.839183050665655,0.0712116959073722,0.578283224623756,0.384125790981073,-2.28244902893518,0.00208531760223294,0.131610319801806,0.0022192593813283,0.158353199912397,0.0061163484197657,-2.27532012019166,0.00491309925991012,0.163573715442884,0.00623404745242868,0.130911296189676,0.0206864214596219,0.636127909793459,0.221568917370451,1.04824888107213,1.22777338175293,-2.28167660645252,0.00177797404634593,0.181558831817648,0.00659853344303565,0.147366015691836,0.00192582267769011,0.847424624764816,0.0748382631276433,0.459429788639683,0.390366831073503,""
"11422-24",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.708333333333333,0.114137305512576,0.426905829596413,-2.2783883070386,0.00165207027641944,0.175086633362129,0.00196218772557108,0.143703272279391,0.00621124298030311,0.782324957495092,0.0707823978779579,0.363808483257529,0.395048528391861,-2.27887446165527,0.00209947566276737,0.124167920751241,0.00221834506201708,0.151908091650968,0.0062328746629924,-2.26840930007676,0.00507004190023389,0.165303316840581,0.00620218126685033,0.126295650007913,0.0204587834138084,0.784337224563407,0.247165768348924,0.814538913501053,1.34802942374202,-2.27905608051487,0.00180168571815497,0.174975045371475,0.00682838303361356,0.144748884672598,0.00193201010851144,0.809360258637402,0.0756242686681897,0.328609635464039,0.411719964747529,""
"11422-25",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.676646706586826,0.114267102634898,0.419529837251356,-2.27645591350345,0.00163437920373309,0.174891166445464,0.00196157156085735,0.134663333437713,0.00598185083360877,0.84662225793875,0.0699927473323248,0.0960631986710927,0.371975382700843,-2.27723361169439,0.00206144818549542,0.126582372179617,0.00221163638986918,0.136956575338054,0.00598631292234116,-2.26832592739981,0.00531449657648772,0.168106465037775,0.00621575032621498,0.0770051153758223,0.0204894073065452,0.682974817585838,0.211495499082723,0.475682139157524,1.14923945408108,-2.27692752365058,0.0017682189834885,0.175240691317977,0.00681708931605154,0.135397843311673,0.00192871090364274,0.857649604777087,0.0741939393059649,0.0665244552386132,0.395425806108092,""
"11422-26",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.74468085106383,0.114300368001372,0.390441839495041,-2.27815062475049,0.00163320204459954,0.176947394589026,0.00196084805877993,0.140884403193998,0.00590966834176532,0.902135686313831,0.070660656919563,0.187689581787676,0.362221750316342,-2.27937826717511,0.00201524179631976,0.130810193456583,0.00217644128707908,0.144917426832299,0.0058998623328805,-2.27487872112797,0.00531402071219933,0.174356327761964,0.00623632551333339,0.123601076582973,0.0212701170672523,1.35982625153507,0.262959731698162,-2.3617716363591,1.352401773936,-2.27793688341704,0.00176810970297133,0.177286260907534,0.00652386146308078,0.141479327915087,0.00192517783766503,0.886990982615946,0.0750736558861994,0.156130751322669,0.376783355282616,""
"11422-27",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.740506329113924,0.114014898877192,0.419698314108252,-2.27967966230307,0.00164963980052827,0.176676657296731,0.00196515642147276,0.149550205717234,0.00610987074763719,0.857095155877315,0.0700883397278702,-0.331913003782417,0.373299758816743,-2.2774185699199,0.00207164858019885,0.124048829874414,0.00220427238926471,0.141694542044121,0.00612191278033809,-2.27605642535466,0.00532175432083228,0.174570626627727,0.00623721462500927,0.141501976536449,0.0210273169955419,1.14224123535736,0.230217657561943,-0.773794033467991,1.13005615089667,-2.27844786641018,0.00177900307275936,0.176102307899483,0.00669528620865701,0.145217581609334,0.00193223002361034,0.820716059002838,0.0744622002017521,-0.153283591225406,0.391945299809102,""
"11422-28",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.748344370860927,0.114281748141229,0.419555555555556,-2.27518151720009,0.00163803462412349,0.174367928912361,0.00195950473120557,0.138331591509114,0.00611297649444503,0.778934218903124,0.0700636227136841,0.392292474127968,0.388837092025897,-2.2766869779886,0.00207478670557983,0.124905832892312,0.00220208281957497,0.146995121208735,0.0061201598759403,-2.27322664682557,0.00526766782592332,0.173506419160594,0.00621625084389591,0.110712147811986,0.0187369301845281,0.946530866298559,0.234538448001416,1.38510209005555,1.46332422627862,-2.2755385361088,0.00177554326201077,0.174497877975613,0.00667723086127067,0.138459542304154,0.00192634914847361,0.789362782213462,0.074379095828384,0.391230954280458,0.403481728314942,""
"11422-29",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.76,0.114438296235904,0.407103825136612,-2.27780616738697,0.00168261453746665,0.177083159788789,0.00196504590587017,0.139262661649751,0.00621021399360214,0.848671872908622,0.072058045262677,0.487634946519603,0.418850699849565,-2.2810813048389,0.0021256752318149,0.131759115511858,0.00221572284353748,0.150184904485658,0.00624890002641268,-2.28341628637644,0.00573097081044168,0.187091789389338,0.00623153510649658,0.140749532611903,0.0219116667787287,0.909116660534188,0.258112516517952,2.19661094311095,1.69603337177483,-2.27764906161031,0.00182839702310731,0.177022867177662,0.00687807530812839,0.137526530697009,0.00193643847555768,0.842091545186447,0.0766987371735411,0.57991257517327,0.445814900675735,""
"11422-30",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.705882352941177,0.11412150361593,0.412444444444444,-2.27621807969186,0.00163244146247538,0.173678775336189,0.00196031578934609,0.140880757291688,0.00613398590215773,0.779305484255645,0.0712250263063647,0.554119793694255,0.414003920670907,-2.27782472888154,0.00206192155444278,0.124861910327289,0.0021955946059305,0.15212198184907,0.00614391902845616,-2.26273944061462,0.00530881724434201,0.16057832264755,0.00620108781058374,0.131713026130451,0.0191394897750526,0.809665713908743,0.23218719303469,0.598765151194592,1.39073925990771,-2.27625406176226,0.00175934440783137,0.174116167835618,0.00685947636856005,0.144406268440713,0.001931023103466,0.777718390100035,0.0751626228394049,0.35263312936039,0.427423856266092,""
"11422-31",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.682432432432432,0.114078899985395,0.419928825622776,-2.27983761366458,0.00163868802770511,0.174703420832122,0.00196100632498258,0.152633761264657,0.00582563758932223,0.744654241034084,0.0701898373304596,0.694827383707748,0.389929133938807,-2.28479366353803,0.00209159895142094,0.128686412357011,0.00220947071134393,0.168280652300327,0.00584895818172666,-2.28535425582366,0.00519669130210823,0.183401269973573,0.00624618190289766,0.155879539557177,0.0177993833251007,0.85770079263609,0.225888048302201,-0.792438227182308,1.17464917223782,-2.28075262777515,0.00176806644774172,0.174798010569947,0.00628715059613837,0.151927875663556,0.00192093550276342,0.774073735917031,0.0758878159084806,0.764845836097673,0.414124363612183,""
"11422-32",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.763157894736842,0.11437445462288,0.422405876951331,-2.27801538468044,0.00165559677953393,0.174917744568515,0.001962587562129,0.142809679387803,0.00644816607239153,0.78737286606243,0.071675690321107,0.825297665852808,0.409975112668404,-2.28149999299463,0.00209722957351124,0.128256395039263,0.00222525151246382,0.162522060450754,0.00645413269450771,-2.28100321968943,0.00555447451402882,0.182462318452761,0.00623323406076524,0.135676631375508,0.0254295614460449,0.870147719084707,0.2615358683681,3.22845143173263,2.12093459681783,-2.27803297387144,0.00180121252743736,0.174859502359423,0.00718930659550506,0.139687922797295,0.00193294585274328,0.787632037999496,0.0775590638636932,0.97425388603902,0.444204966206439,""
"11422-33",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.75609756097561,0.114479552821325,0.410681399631676,-2.27809554707579,0.00167538392608433,0.176036632756901,0.00196435939828288,0.142784337406697,0.00620679445574443,0.90382840738992,0.0716707204679359,0.100374854457914,0.389371605494906,-2.27919955350756,0.00210034869150741,0.129797006203571,0.00221642891175189,0.14578798383704,0.00623050525475117,-2.28347993030294,0.005551901317606,0.179517719552445,0.00628738584696384,0.155521293305335,0.0176150290750816,1.13015026608378,0.231740157474559,0.009787134340613,1.12375822769496,-2.27872860881457,0.00181890065690986,0.175979184603073,0.00665458885318484,0.144300646410933,0.00193428112607594,0.930088241284739,0.076162851890169,0.0391623518101927,0.401054473839866,""
