"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle"
"11422-21",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.112827995984098,0.149476831091181,-2.27605205760117,0.00171744280508553,0.175348369796587,0.00215057308076727,0.138433073408474,0.00480209286332507,1.49773035992463,0.110473131603668,-0.58402545650679,1.21994526156081,-2.27748861379737,0.00191906466480507,0.146892197372203,0.00220318076814545,0.14009119726099,0.00496761376488951,-2.28013887915371,0.00545605580126675,0.180764563641633,0.00672338134474656,0.141521576475113,0.0133583090605998,1.36439246933339,0.378999313729017,4.63406429035841,4.59474761123675,-2.27666942402747,0.00177537143309857,0.175943471303987,0.00485439093130609,0.13973255593963,0.00212699732434523,1.53909647683514,0.119011986890244,-1.02001282035732,1.27340058464014
"11422-22",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.112394598538189,0.158857979502196,-2.27880995064429,0.0017475786438555,0.177609270361367,0.00218328464055235,0.137833647181393,0.00502193966828897,1.2720350917082,0.106810145322898,1.29401380928722,1.33410866629703,-2.28078823389973,0.00198960226734966,0.14596159219489,0.00225645114570686,0.142100520875446,0.00526010747898965,-2.27963284082391,0.00530551664647814,0.181080177463314,0.00666553236141489,0.153465301844687,0.0156409614058814,1.08734814703222,0.316359965221355,4.25864868769013,4.11795503074933,-2.27909524845847,0.0018144528296222,0.177364425043245,0.00510096155243184,0.13851830189897,0.00215066321313241,1.30748184575677,0.115580201337385,1.0222318408753,1.39649984079058
"11422-23",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113228982887889,0.157566302652106,-2.27888729718494,0.00179123101032182,0.179312411324448,0.0021615302324878,0.140485960030992,0.00502917753069924,1.48021943713057,0.112732044800167,0.555911316653453,1.35997897731633,-2.27880384548709,0.00202781153071868,0.149086529074245,0.00225452093261968,0.140798146125996,0.00525029927751637,-2.27313461982492,0.00591234594442782,0.173679005158799,0.00691937649540677,0.105779663492016,0.016121857659454,2.08032364612521,0.400702051869198,-6.15800938756983,3.85409019595757,-2.27969292084387,0.0018535341596897,0.17947196887957,0.0050841433422608,0.14260846700101,0.00211931843354831,1.58049760091175,0.122282538024654,-0.574273405353436,1.39358187539894
"11422-24",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113115902841504,0.152895752895753,-2.27743627814254,0.00176368292607824,0.175746211587734,0.00215980266305396,0.137841420334613,0.00475637122468206,1.48234605337828,0.109553616241869,0.622290356536476,1.29127586875523,-2.27701121848883,0.00198805229257075,0.145601081872127,0.00224223359741889,0.137662236775766,0.00495462929026705,-2.28268893269352,0.00557515723148229,0.181828132807747,0.00686086140379036,0.17416884243892,0.0159450621822668,0.998496587356089,0.343160339365448,3.7802190551172,4.53715205758499,-2.27729599210331,0.00182628532860863,0.175712807213289,0.00481588589567135,0.137526500302234,0.00212044502233752,1.46821332872452,0.117208689767469,0.765994788142781,1.3533177045326
"11422-25",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113046776210819,0.156012176560122,-2.27396555370274,0.00172926860197354,0.172406991921476,0.00214988991698106,0.135244725406768,0.00480376270720261,1.44958977119386,0.109524731557487,0.238647727545849,1.31406443181098,-2.27550904458008,0.00194907077220916,0.144381878577741,0.00222083068376335,0.137773755497342,0.00499195340032915,-2.27413762526436,0.00583357503810861,0.168092075674938,0.00693149839858597,0.155757974995161,0.0151550135308052,1.95615557400242,0.404954458038587,-0.00174755923456424,5.39266893819525,-2.27453042426627,0.00179494060406929,0.172335128934214,0.00486467016606732,0.136212534759795,0.00212002695659652,1.49296089995603,0.119024207459454,0.0865817946865749,1.38347024456507
"11422-26",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.11313898925408,0.160186625194401,-2.27654409372419,0.00174059699058822,0.174762584795071,0.0021430805831329,0.13593200769701,0.00472245944343059,1.54547534613788,0.104873519204727,-0.886134787377958,1.11169409901947,-2.27602502888611,0.00196031243435829,0.144343233153701,0.00221856048023084,0.134299272590753,0.00489892330169544,-2.28312128826279,0.00526385449419535,0.176280704261049,0.00672442580048174,0.155084893540112,0.0139759958746717,1.31899021566173,0.302770996690822,1.49152243278155,3.70793219914125,-2.27677648181071,0.00179943361472525,0.174540522019272,0.00476574965412839,0.136141433196881,0.00210821926017839,1.56041149289562,0.113387036738318,-0.766940063270137,1.17365980611786
"11422-27",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113031218597298,0.1350531107739,-2.27718875911915,0.00174198068727869,0.176273481431208,0.00214802034276938,0.142665708925888,0.00483427889834081,1.47770210901243,0.114909783224609,2.0339753637555,1.39266888603113,-2.27847509418305,0.00193236635182658,0.150260395896001,0.00220785179785617,0.146110708374736,0.00500168039116567,-2.28659261621619,0.00546997817988976,0.188936347268536,0.00667921763785548,0.152586805586621,0.0148596020757797,1.48395401009961,0.345702580618753,0.224338618718096,3.76370044053652,-2.27764923788425,0.00180827443359224,0.176439714729869,0.00490350256559059,0.143808211259033,0.00211565843731598,1.53310820438436,0.12395020841152,1.4020961029362,1.43014924333577
"11422-28",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113099023680511,0.163846153846154,-2.27701079515473,0.00173751202535922,0.176670946085755,0.00214996556632467,0.136922571611592,0.00469574240774575,1.46531699667554,0.107135953646784,-0.400816150788897,1.23725501666069,-2.27803074278714,0.0019693105027921,0.146749001161533,0.00223048550786751,0.138095707020023,0.00488707977401524,-2.27369799711865,0.00572133007188062,0.175692478959697,0.00685149723171438,0.127081354485634,0.0166369578255559,2.04086683417435,0.37912845647916,-4.09190292180748,3.69170005213746,-2.27732118226192,0.00179867838468741,0.176570859993197,0.00474036080841994,0.137124325836373,0.00211485264165427,1.469144554533,0.115580332568392,-0.0801390799247724,1.31130496887864
"11422-29",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.112423142931158,0.164212076583211,-2.27944205920842,0.00174404795987545,0.180869568704222,0.00217917641401416,0.134904597103968,0.0050915791025662,1.38822334367102,0.106344737094225,-1.01344501152674,1.25474087132843,-2.27852887471863,0.00198325537967075,0.144564098885686,0.00224838312039701,0.132525985307492,0.00532103704789136,-2.2786306758635,0.00584825851508455,0.178807963530707,0.00695927484315817,0.13554611877921,0.0156527848264049,1.8330211589869,0.380731649738052,-1.05218548547308,4.42452064640434,-2.28028793309109,0.00181640036033113,0.181034861904259,0.00516709384077693,0.13634675498327,0.00214625018941082,1.43054603231804,0.113454675856895,-1.0878367585518,1.31248725292239
"11422-30",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113525790148307,0.175019888623707,-2.2764632534836,0.00177872767002165,0.178367837000665,0.00213951741279856,0.135280942089305,0.00501445885894837,1.38527614438289,0.106596599536834,1.147073418192,1.26767485765881,-2.27847938107495,0.00203933517190159,0.149475462381872,0.00224913636126065,0.139369225640127,0.00524061026633927,-2.27439044984277,0.00569367057854427,0.17578228992963,0.00664285055182439,0.130564547996232,0.0174171405580114,1.40044801146275,0.392163324737171,6.39961615333222,5.50504096782893,-2.276664945169,0.00186390043873968,0.178454521273977,0.0051218272143152,0.135988570952318,0.00211234246867205,1.41653250702461,0.115038334238587,0.688777731542958,1.35906088736183
