"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","eta0_gs","se_eta0_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","eta0_cc","se_eta0_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta1_mle","eta0_mle","se_eta0_mle"
"11422-464",390,-2.245641,0.1549768,0.1,0.9,0.113606253475158,0.111111111111111,-2.24449316107209,0.00317333932746437,0.157007713154016,0.00466954863586185,1.88706964902721,0.214617051661554,-2.24382395481949,0.00336353436553342,0.136517263871496,0.00466002153412179,-2.24662729266274,0.0103840364163318,0.170903819749182,0.0146239988667428,2.19722456035744,0.745294568564561,-2.25840040946079,0.00714568502715358,0.0895024552912069,0.00745971880872948,3.02245271777166,0.283714910304501
"11422-465",390,-2.245641,0.1549768,0.1,0.9,0.113894013499424,0.115740740740741,-2.24146694555431,0.00323318203619533,0.148502613144913,0.00465267730575802,1.94017947431237,0.213885016375226,-2.24178805067865,0.00343931008418984,0.131560672802759,0.00466726244995544,-2.23005092002471,0.00985090143241583,0.141021461557362,0.0147723720171447,1.16315080980317,0.512347123169626,-2.23733815579571,0.00703913367920121,0.0697987046560468,0.00741870542178334,2.87333949724115,0.263292925110935
"11422-466",390,-2.245641,0.1549768,0.1,0.9,0.113871366312896,0.0930232558139535,-2.2443818431076,0.00324435918366024,0.153360973691257,0.00465277785455806,2.16905369042065,0.236023895609604,-2.24398905859818,0.00340599283845531,0.137901364084808,0.00466168945202936,-2.26695739705952,0.0100014931462157,0.162735934284671,0.0149489597586547,1.67397643317302,0.629145522201245,-2.26921755167575,0.00785057791558598,0.103097987929603,0.00812990183807094,3.42927675243545,0.333225238027589
"11422-467",390,-2.245641,0.1549768,0.1,0.9,0.113945799563042,0.0821917808219178,-2.23916470579299,0.003207648901981,0.146985720705534,0.00465330924510007,2.2512917986065,0.247797309448684,-2.23851509245613,0.0033472521780413,0.132628963402908,0.00465059329523753,-2.22382754450324,0.00943102218534338,0.137909028481975,0.015073134031832,1.94591014901448,0.755925987837939,-2.22507570791916,0.00745838046159645,0.0568914732269542,0.00802148678817262,3.84281233197744,0.437906229905127
"11422-468",390,-2.245641,0.1549768,0.1,0.9,0.112609457555458,0.102564102564103,-2.24689281188756,0.00311423640009154,0.150853032174575,0.00470923952505712,1.87180217689878,0.219264282086486,-2.24752911179713,0.00328884992328661,0.133296323733873,0.00467228101494488,-2.24095805584926,0.00990487067899178,0.139929905687226,0.014832836479262,2.07944154018219,0.749981900143068,-2.24567721570547,0.0074490468869295,0.0662258026992229,0.00793372950144115,3.58620592204939,0.375747893651483
"11422-469",390,-2.245641,0.1549768,0.1,0.9,0.112817302539224,0.111111111111111,-2.25006148152464,0.00318013551082968,0.154043930154583,0.00468356948324894,1.88706964902721,0.214617051661554,-2.24983308691998,0.00337251234565578,0.134652415115796,0.00467336105682188,-2.24854197624023,0.0104149653902845,0.144203217845089,0.0147454293646476,1.791759469228,0.623609478485628,-2.25691858178207,0.0074335238820015,0.0801573051953239,0.00778868776266303,3.07468088742794,0.290467823882377
"11422-470",390,-2.245641,0.1549768,0.1,0.9,0.113930888991735,0.0642201834862385,-2.24384491449592,0.00322411150224595,0.155758766353151,0.00465239181803398,2.50843714719691,0.277925189413225,-2.24278731574466,0.00333172223223148,0.14275484267751,0.00465040077225865,-2.24037532667686,0.0109102442034749,0.169874304888644,0.0146192136559057,2.9957322607839,1.02461719460789,-2.24867824313919,0.00836972245402549,0.0810446795253886,0.00873919814264167,3.78289736057284,0.414291423776754
"11422-471",390,-2.245641,0.1549768,0.1,0.9,0.114454051707423,0.065989847715736,-2.24800449087335,0.00339909874925378,0.156335667876211,0.00465241772020838,2.69774083136327,0.286537000790401,-2.24701972680682,0.0035157026970732,0.145390300081182,0.00468052653404045,-2.23901195798554,0.0103517184200241,0.154192692752054,0.0146446464316728,2.19722456035744,0.74529456856456,-2.24679131072721,0.00812479261957537,0.0842640676010601,0.0084249425735504,3.61783528607467,0.370961237984544
"11422-472",390,-2.245641,0.1549768,0.1,0.9,0.114318366850973,0.135514018691589,-2.24022423782839,0.00324743698705515,0.151839030441672,0.00464623644899827,1.80318816505158,0.200410980923785,-2.23960520074121,0.00349270418765585,0.130490845548984,0.0046763917123575,-2.25426425098998,0.0101966494491619,0.185595212927461,0.0147176637088062,2.14006615791546,0.747509915567977,-2.26221738247067,0.00688101797253634,0.100117489414384,0.00717869692519705,3.2329537533283,0.314907454325677
"11422-473",390,-2.245641,0.1549768,0.1,0.9,0.113004832250721,0.103448275862069,-2.24870401439522,0.00313382548934816,0.160985148900099,0.00469893234898297,1.88454120267434,0.219079105497865,-2.24801243372373,0.00330817571096994,0.139862131722705,0.00467022067553541,-2.2373776812462,0.0103517182143438,0.16791330559349,0.0145914704310851,25.5660692480913,50911.7359695601,-2.24374684763441,0.00845034581619347,0.0673023235434565,0.00919196086153008,4.5312799236175,0.710458890995777
"11422-474",390,-2.245641,0.1549768,0.1,0.9,0.113705560052198,0.0913461538461538,-2.2472802734966,0.00330448905358588,0.150694994471192,0.0046544492212235,2.25956770791035,0.241093513062293,-2.24629908720932,0.00346529304633868,0.135558431926963,0.00467681535516659,-2.24864957714585,0.0104285515696264,0.141396011566192,0.0147760512655689,2.89037175539071,1.02736793740422,-2.25722437795814,0.00749337609644774,0.0885225319736536,0.00784542245462755,3.64607439620875,0.390232590218091
"11422-475",390,-2.245641,0.1549768,0.1,0.9,0.114018691937952,0.0813397129186603,-2.24524429759468,0.00329239552985633,0.152841950325075,0.00464649248471459,2.36528368720958,0.253669819341844,-2.24565363772127,0.00343622242077509,0.14131072452344,0.00466364101655673,-2.24496011140152,0.012747389200609,0.146694051323088,0.0155157028734582,25.5660693527259,43200.0427553781,-2.2449601114024,0.0124273688559199,0.0761621368368228,0.0126390475521708,26.0566961705636,26548.3549147255
"11422-476",390,-2.245641,0.1549768,0.1,0.9,0.112763881645375,0.0714285714285714,-2.24504920316704,0.00308484700455982,0.153308492322271,0.00472146520623755,2.19066716176354,0.255719267592332,-2.24605566868964,0.00320298915260844,0.141055971694797,0.00468007868159945,-2.26352606070613,0.00981052284523674,0.170941693587808,0.0150315631317692,25.5660669445068,55770.9482279353,-2.2635260607063,0.00956423311315035,0.0861570322447342,0.00984730560738542,26.1630707324649,37545.0435328096
"11422-477",390,-2.245641,0.1549768,0.1,0.9,0.112865847783675,0.091703056768559,-2.25192434963969,0.00315601848016848,0.162622938848303,0.0046935523734,2.03688192672418,0.232010087520331,-2.25190795223507,0.00331133019921117,0.145098411618309,0.00467205210197451,-2.2465988375495,0.00996963742235207,0.149760575866927,0.014864204518844,1.38629436111969,0.559016856137216,-2.25379842203595,0.00766626509569079,0.0772955093392073,0.00801018588350982,3.07352148583858,0.279110776501341
"11422-478",390,-2.245641,0.1549768,0.1,0.9,0.114229835560959,0.0904761904761905,-2.24911532773018,0.00329271659029499,0.165091573904613,0.0046412712401624,2.24851787172378,0.241220091438862,-2.24908645465355,0.00345221776258436,0.15045918804303,0.00466283514068083,-2.25635514948911,0.00959323395063826,0.171425441884571,0.0151814596050028,2.63905732959092,1.03509497763452,-2.25957266820921,0.00734666952180128,0.0969519918010651,0.00770880981780513,3.7130730973333,0.41745561589315
"11422-479",390,-2.245641,0.1549768,0.1,0.9,0.114164427747139,0.0917874396135266,-2.24897086105272,0.00331176573407685,0.161199925709167,0.00464151294334061,2.26504717367497,0.241031236956283,-2.25010232441996,0.00347725571605381,0.149103208294764,0.00466877746267942,-2.23492756322633,0.011149021408314,0.138164293383683,0.0147348807309411,3.04452241195426,1.0234218591809,-2.24337079201936,0.00794960920510685,0.0772825424801548,0.00830530100300597,3.84670337828836,0.437126440392034
"11422-480",390,-2.245641,0.1549768,0.1,0.9,0.113676195365701,0.0837209302325581,-2.24669014976334,0.00324872201451871,0.15459085800109,0.00465531645310376,2.27441421602734,0.247527449027192,-2.24707854963311,0.00339541346266809,0.141797450003795,0.00466234702201961,-2.24305254255163,0.00897375053345148,0.159784381436935,0.0160250345383259,1.70474808419335,0.768665549730033,-2.24918544239409,0.00711688915435656,0.0811832572322365,0.0074633163174221,3.49124448547243,0.352132435589745
"11422-481",390,-2.245641,0.1549768,0.1,0.9,0.11450089369357,0.0926829268292683,-2.2451255754365,0.00332618835662711,0.157756337147822,0.00464200751769947,2.27591684591189,0.240908657375654,-2.2445700640303,0.00349070308931521,0.143077501075052,0.00467210493305214,-2.23943635002352,0.0101372722048865,0.159530179932461,0.014677453234282,1.73460105538811,0.626224281242808,-2.2524894659673,0.00781220778481712,0.0914590297487196,0.00809975663376009,3.1161162583282,0.285071745113441
"11422-482",390,-2.245641,0.1549768,0.1,0.9,0.113933708759367,0.0892018779342723,-2.24529399181578,0.00326179552549385,0.154682224865598,0.00464767151795404,2.23171075340738,0.241415192100443,-2.24256127040262,0.00341316721261814,0.135609938446568,0.00465962089401847,-2.24811522179657,0.00972616348361346,0.15657530068971,0.0149637589113653,2.01490302023846,0.752764539574292,-2.25462661247514,0.00707184225115374,0.0889124148305925,0.00739610497689826,3.27561470989621,0.325756100591517
"11422-483",390,-2.245641,0.1549768,0.1,0.9,0.114067203813523,0.100478468899522,-2.24258466716465,0.00329082578725698,0.148342258151679,0.00464459747933883,2.15397458614995,0.230517154858879,-2.24240159547602,0.00346939859700874,0.133623345797177,0.00466983878447408,-2.23608185119694,0.0111740533705682,0.134069056757756,0.014767605068488,1.65822807658741,0.545543448481981,-2.24609942986782,0.00819854633400303,0.0796960543372185,0.00847669908598849,3.10281420902073,0.284719871635024
