"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-183",2200,-2.245641,0.1549768,0.1,0.9,0.113788330154404,0.0821806346623271,-2.24376869683672,0.00135772680690714,0.152858697259112,0.00196099447812934,-2.24346398181712,0.00141680680606082,0.13886834946844,0.00196120384583258,-2.24603351912571,0.00441588124794108,0.149209494379248,0.00619226121861648,-2.24396994168482,0.00136616719775052,0.152681469373442,0.00191260108627512,0.90971073520062
"11422-184",2200,-2.245641,0.1549768,0.1,0.9,0.113875079872602,0.0838079739625712,-2.2436602058338,0.00135754286606527,0.154197961330522,0.00196068320373657,-2.24293219348395,0.00141782321586331,0.138980931286292,0.00196104243139807,-2.24456815754084,0.00422102442255238,0.164556179177665,0.0062025978226098,-2.2437976880256,0.0013707064925748,0.154551265683095,0.00190399126772717,0.903649195520551
"11422-185",2200,-2.245641,0.1549768,0.1,0.9,0.114052170766354,0.08603066439523,-2.24711029510665,0.00139063458257938,0.156398110850472,0.0019563507398347,-2.24745453921825,0.0014549333207943,0.143947674563172,0.00196533395230929,-2.25184289908555,0.00454067161996561,0.161376038764974,0.00619924338547402,-2.24726637092184,0.00140043582122779,0.155967318182027,0.00189965744915026,0.914941178804977
"11422-186",2200,-2.245641,0.1549768,0.1,0.9,0.113912434324691,0.0720198675496689,-2.2450107068026,0.00136925117516691,0.154667294940547,0.00195768302421348,-2.24449828270108,0.00142088561627241,0.142089153386285,0.00195980466816345,-2.23963169303585,0.00421150485406577,0.156524369022931,0.00620130139592707,-2.24473773022298,0.00137583716626061,0.154922554129051,0.00189427633146905,0.914156337693366
"11422-187",2200,-2.245641,0.1549768,0.1,0.9,0.114198096771464,0.0797962648556876,-2.24648605124979,0.00138784743343793,0.158335293530185,0.001954882829835,-2.24610498515719,0.00144649459125051,0.145220743595888,0.00196223098738866,-2.24389949671361,0.00422049745950491,0.150178973633963,0.00622863279425323,-2.24650027178804,0.0013975798126801,0.158374145837656,0.00189915296590907,0.91568153655977
"11422-188",2200,-2.245641,0.1549768,0.1,0.9,0.114154391717863,0.088109495295124,-2.24689679471509,0.00139375383500348,0.157106075457342,0.0019559467612865,-2.24702189387907,0.00145949280239637,0.144057561740901,0.00196600657818595,-2.24660377118976,0.00431531748909254,0.157730890711121,0.00619715590676012,-2.24719055774237,0.00141123224037416,0.156961377336727,0.00188071619374715,0.913743223466909
"11422-189",2200,-2.245641,0.1549768,0.1,0.9,0.11364372430261,0.0836038961038961,-2.24538778080024,0.00135605048023287,0.154049012651521,0.00196117685278932,-2.24547408323284,0.00141657789828304,0.140389939223784,0.00196114966766926,-2.24231651471986,0.00429826138524504,0.152253438134974,0.00618386876082692,-2.2454482007176,0.00136501277473557,0.154452005551453,0.00190029358792639,0.902091626877835
"11422-190",2200,-2.245641,0.1549768,0.1,0.9,0.113687212101888,0.1,-2.24711118382158,0.00136425095520821,0.156581471867243,0.00196035267892302,-2.24666410367081,0.00143766878854968,0.139576626302798,0.00196438026807811,-2.24856766999219,0.00440481522249192,0.15742564925529,0.00618512141763647,-2.24673268324533,0.00137790321431669,0.157181660479261,0.00190970074265996,0.88083551229132
"11422-191",2200,-2.245641,0.1549768,0.1,0.9,0.114147371173578,0.0829187396351575,-2.24360376385004,0.00136997441200102,0.155646564197121,0.0019554368055751,-2.24319731681868,0.00143027226182092,0.141634418909678,0.0019593444632133,-2.24250198162254,0.00420513316165079,0.14918464118492,0.006229735145899,-2.24361981474631,0.00137938045402691,0.1554571427022,0.00190249001754052,0.910051080034014
"11422-192",2200,-2.245641,0.1549768,0.1,0.9,0.113900843773539,0.0701606086221471,-2.24849499612862,0.00138646874730924,0.157815896264415,0.00195775635297395,-2.24835067080207,0.00143766133963531,0.146476466502708,0.00196295622307459,-2.24930485912491,0.00428502192899665,0.161527285005607,0.00620987933401513,-2.24845404903932,0.00139352649971625,0.158141498364484,0.0019091858985849,0.92200597132555
"11422-193",2200,-2.245641,0.1549768,0.1,0.9,0.113630096807661,0.0916597853014038,-2.24558577774986,0.00136912026318887,0.151181360953181,0.00196117885629359,-2.24558339367219,0.00143647868532262,0.136937403776989,0.00196518308384593,-2.25132477888894,0.00429307001466047,0.164454765259675,0.00621474633366103,-2.24557956355919,0.00138340067277936,0.151260873430785,0.0019005059877725,0.898579808865348
"11422-194",2200,-2.245641,0.1549768,0.1,0.9,0.114537810262783,0.0989399293286219,-2.24373343862729,0.00141438850579595,0.152349119374361,0.00195476227761347,-2.24418324043306,0.00149035055663959,0.139635301565755,0.00197250969427551,-2.24605195909127,0.004463972756566,0.157995211780193,0.00618025532216216,-2.24395890137419,0.00142920773386746,0.152385941516333,0.00187644400536966,0.907731049771645
