"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-44",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121455855789273,0.343859649122807,-2.24735569365251,0.00282372039971494,0.158311518644285,0.00299765759789981,-2.24794053083054,0.00348664866711781,0.151794302626142,0.00362310318869957,-2.248422960864,0.00953245682764517,0.156113448779241,0.010042184989621,-2.24823824549029,0.00198192143149822,0.158899015024635,0.00198134744096453
"11422-45",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121005448637578,0.249180327868852,-2.24565449035478,0.00272657650926617,0.15366525126242,0.00290877139492332,-2.24446349412289,0.00314524384989119,0.146839378487313,0.00329927586057551,-2.25300698529994,0.00808478371982074,0.163355636502154,0.00871003600222983,-2.24608342777688,0.00168883006042563,0.154058504231214,0.00168683829712892
"11422-46",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121207466809418,0.324503311258278,-2.24326810440709,0.00273505871675416,0.152643980531008,0.00291615201141031,-2.24531063653634,0.00333272135986692,0.147868607862598,0.00347658867223828,-2.2248377694208,0.00819616769216889,0.138674298822632,0.00880407226172653,-2.24263486818956,0.00174113482063216,0.15206176856354,0.00174010107499012
"11422-47",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121071350303494,0.329032258064516,-2.24972253920708,0.00270988698498729,0.159312216460489,0.00289324262693617,-2.25151391140765,0.00331098501213213,0.153695038827607,0.00345610056694982,-2.25780762688963,0.00939889347114135,0.164635310834655,0.00991836757362313,-2.25018678598788,0.00189393833929639,0.159788393237941,0.00189290158936994
"11422-48",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121390619045027,0.301818181818182,-2.24635187904078,0.00287224628321767,0.155812076568767,0.00304274913258284,-2.2485642755504,0.00344210007234275,0.152218060134243,0.00358056882889643,-2.2489759214975,0.0082933981936251,0.159433218642402,0.00889710746904064,-2.24688652205608,0.00176603501105612,0.156378974503025,0.0017644725095941
"11422-49",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121122710831689,0.282539682539683,-2.24629421863377,0.00268278719449547,0.156256571676644,0.00286832089803859,-2.24660484221689,0.00316912939968346,0.150033583733048,0.00332162048467924,-2.24511623576322,0.0101518904480846,0.154324659262761,0.0106240514293376,-2.24708130467546,0.00198299839875492,0.156602842837219,0.00198204284942809
"11422-50",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121248343666855,0.32996632996633,-2.24594460694673,0.00276640180543197,0.155652176184817,0.00294504759846086,-2.24509460008492,0.00337749090385329,0.147663018974708,0.00351921588869707,-2.25562856887392,0.00977063454901847,0.159923349591181,0.0102683089054218,-2.24409088003576,0.00195465118738065,0.154215979053603,0.00195387379028962
"11422-51",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121219674001881,0.327922077922078,-2.24806589507595,0.00271887651052631,0.158682973230699,0.00290134988957077,-2.24876249056852,0.00331635205598377,0.151998152355767,0.00346108578199953,-2.24640529426948,0.00794025889723118,0.162480683022903,0.00857641464141228,-2.24974855743709,0.00168666753166139,0.16032085927932,0.0016847261598865
"11422-52",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121474402847192,0.352159468438538,-2.2432536701042,0.00274244385610245,0.155062914922256,0.00292255770738744,-2.2408229675872,0.00340216663436279,0.14481625187847,0.00354242872115595,-2.23885276759972,0.0089686977171305,0.151497858802227,0.00951359738156751,-2.24178407662177,0.00185176909975067,0.153685202539234,0.00185061994668124
"11422-53",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121248745519849,0.285198555956679,-2.24600849206189,0.00286397660681738,0.154258091338294,0.00303534921618359,-2.24783328425786,0.0033906275625024,0.150589569962265,0.00353169251811588,-2.24222142292088,0.00883469037979917,0.149999661468388,0.00939348927838266,-2.24591195022838,0.00188517768443604,0.154233184152107,0.00188391231213614
