"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle","msg"
"11422-35",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123216201930412,0.243243243243243,-2.25814514111112,0.00786548341729815,0.166895766654508,0.00792239944428573,-2.2567493937107,0.00903765763844347,0.164844463714563,0.00908706136222519,-2.28800643841429,0.0244047645978361,0.192395371405744,0.0245891828503353,-2.25871637075722,0.00895046047183731,0.167388604090891,0.00900059274327652,0.996401972450375,""
"11422-36",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123395038214969,0.205882352941176,-2.23729277229928,0.00814435621276435,0.147025545547833,0.00819923085250502,-2.23954182415132,0.00915161174183643,0.148858327979379,0.00920034404646506,-2.24553308123435,0.0237758499359971,0.157589763770882,0.0239637621969476,-2.23261580217943,0.00465489649034537,0.142558927152067,0.00410131144627097,0.994735318616854,""
"11422-37",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.12323281870216,0.285714285714286,-2.23404710451147,0.00633940473871312,0.14374453792198,0.00641043333485465,-2.23076349060593,0.00750290602651279,0.139410725194279,0.00756263187344819,-2.21621997178262,0.0272165526421263,0.122608550441773,0.0273809044731147,-2.23485065232673,0.00470402271577226,0.144426472436808,0.00434399120642243,0.993616705558951,""
"11422-38",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123464230057574,0.282051282051282,-2.25400102967387,0.00765771847244313,0.164912359015007,0.00771609709055594,-2.25971333698001,0.00907292564935653,0.169912435153062,0.00912203640585336,-2.26523733474198,0.0340601351644917,0.176260892152912,0.0341904112453974,-2.25883410619273,0.00897261154076437,0.169496335917102,0.00902194933422351,0.996989249597502,""
"11422-39",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.122995701660419,0.307692307692308,-2.23923587320901,0.00759802793403007,0.146029556764507,0.00765706223275565,-2.2367304342359,0.00911618098187804,0.142747828516258,0.00916520921620513,-2.22839116957447,0.0334263039602524,0.132439338418646,0.0335599968928968,-2.23922940959823,0.00512936369756852,0.146125986062078,0.00475990975438739,0.993716081558826,""
"11422-40",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123438196643485,0.194444444444444,-2.23005760940994,0.00786281024178595,0.14020838118821,0.00791965087103843,-2.22841217983323,0.00876047610005008,0.138117548687601,0.00881138483089819,-2.2681429130951,0.0279946186804066,0.177696881410966,0.0281539484754545,-2.22545517971535,0.0042122298551043,0.135631016471672,0.0036936676000795,0.996036439322645,""
"11422-41",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123401070090567,0.157894736842105,-2.25319545882469,0.00775496645973104,0.163488364425999,0.00781260942156852,-2.25627749955003,0.00846910258291872,0.166188776404085,0.00852178983541517,-2.24538172321089,0.0195478090604308,0.159478550804964,0.0197775169575965,-2.25404598082011,0.00653072329843449,0.164191074944822,0.00637663174700383,0.998285123663174,""
"11422-42",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123266579148539,0.244444444444444,-2.24705784820797,0.00710992182826901,0.15661052363218,0.00717302861806513,-2.25474777031925,0.0082094153014292,0.163668690680845,0.00826388842218326,-2.24358303177932,0.023688962228986,0.152584107301135,0.0238781652190721,-2.25289607942863,0.00811469885026384,0.16197749435143,0.0081686557147957,0.99876418589409,""
"11422-43",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123274650433558,0.435897435897436,-2.24025823202342,0.00761320638554283,0.149375571608029,0.00767201136472925,-2.24365555433041,0.0101534582719722,0.151721273625353,0.0101973281114514,-2.21469394706521,0.020874137849771,0.124111331065729,0.0210890334009184,-2.2362328654448,0.00508335575952554,0.145421076182115,0.00462739163147209,0.991220104015406,""
"11422-44",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.12358127157743,0.214285714285714,-2.23823779719238,0.00897664429674477,0.149168752991186,0.00902623265913279,-2.23675523984417,0.0101149492870784,0.147293626638147,0.0101588796800588,-2.26391595183469,0.0276818179009869,0.17170810628836,0.0278433628870268,-2.23732518144782,0.0100103617919586,0.148042892152776,0.0100539613053239,0.998735170833482,""
