"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-37",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109136342489662,0.293791574279379,-2.24566011747293,0.00112138177058864,0.15873059151522,0.00247799319450156,-2.24741712420974,0.00133588003663356,0.0749811963804443,0.00201469759679382,-2.24433713606733,0.00355693865051827,0.161359628561043,0.0077231135649426,-2.24550673221338,0.000682316967264015,0.159493073194992,0.000672939283662767
"11422-38",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109237234445461,0.309232480533927,-2.24441156375397,0.00112256464008155,0.155082227755499,0.00246607317513667,-2.24518847563129,0.00135105243562987,0.06980081568999,0.00200804180747956,-2.23939107619456,0.00354906698287722,0.151093249005382,0.00774034718617539,-2.24400048315027,0.000681811088850262,0.156546207699578,0.000672455524990115
"11422-39",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.10875406883514,0.288472145615003,-2.24775890468249,0.00111921646803697,0.155047343194119,0.00250581464597046,-2.24819660939755,0.00132693426767875,0.0699328583580067,0.00202237643899901,-2.24684842436208,0.00345739238430903,0.165377074178353,0.008714895075205,-2.24729135079764,0.000669211180131153,0.156330152077249,0.000659349781826883
"11422-40",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109036714472683,0.29862258953168,-2.24507292574403,0.00111756852822843,0.155452357215061,0.00250844157633168,-2.24590575921029,0.0013348632175428,0.0694150908361914,0.00201651151873712,-2.2476217540591,0.00351546399563267,0.160438724652371,0.00814992484907161,-2.24474096633198,0.000675334199964607,0.156186868217985,0.000665652788167786
"11422-41",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109078801071196,0.31730237700387,-2.24482098932995,0.00111910011346362,0.153826065930271,0.00249446171213611,-2.24534947489507,0.00135501563710616,0.0663239373458952,0.00200839371510432,-2.24000291676829,0.00352528016110367,0.153063764017586,0.00787533599206367,-2.24463063449292,0.000679758451066803,0.154246696625055,0.000670220375772923
"11422-42",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108956126951928,0.309050772626932,-2.24553449631646,0.00111879396596194,0.152900310560136,0.0025034568278269,-2.24495050226932,0.00134558997455201,0.064126288390064,0.0020131534413725,-2.24868487952357,0.00356463621926802,0.166053880348464,0.00773683638999699,-2.24544323223369,0.000681504728707281,0.152811170373469,0.000672048549164255
"11422-43",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109172787099643,0.32421875,-2.2450845387568,0.00112464207373908,0.153294487831664,0.00245638564622924,-2.2449814140122,0.00136787858985516,0.0658779911162608,0.00200439897885601,-2.2445071136562,0.00352881211128946,0.151032284196495,0.0079799336433752,-2.24525407603994,0.000681829416578982,0.152839035264398,0.000672376303334423
"11422-44",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109171791483709,0.295991213618891,-2.24298933219383,0.00111473473199964,0.153303054006216,0.00252259453306768,-2.24288448158917,0.0013283875329105,0.0659435476948327,0.00201800072474622,-2.24176200076996,0.00363504099291283,0.155368463536841,0.00725637751992887,-2.2428787465146,0.000689672944157977,0.153882369424117,0.000680374837740728
"11422-45",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109286677790196,0.299145299145299,-2.24679059128597,0.00113742352778773,0.153547924035074,0.00238236825031741,-2.24860292901764,0.00136008065833901,0.0772443885288431,0.00200524622216465,-2.24446312307914,0.00357590025786058,0.141870194098442,0.00764261479928502,-2.24740395018842,0.000691216330433572,0.152849569141389,0.000681971857184221
"11422-46",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109109084768516,0.297625621203755,-2.2451590243842,0.00111874353144189,0.157518159490583,0.00249629535525648,-2.24484005737081,0.00133506305257904,0.0682746964118172,0.00201533637376243,-2.24494518551822,0.00361444375868489,0.153511284812365,0.00743910838774909,-2.24521678107334,0.000688870038264917,0.157449445080813,0.000679760068450455
"11422-47",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109365358838837,0.296380090497738,-2.24436147080789,0.00113182546120578,0.150165347292124,0.00240745978559257,-2.24439830484131,0.00134932325354505,0.0707172578087487,0.00200718974316635,-2.24207563308538,0.00363576166364991,0.145904112061943,0.00727343474094267,-2.24451173850409,0.00069575917288387,0.149567171518978,0.000686805555018733
"11422-48",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109010123855681,0.301271420674406,-2.24717276065774,0.00112031860295682,0.162320463487996,0.00248821987578671,-2.24683567938712,0.001340101683102,0.0702712044745385,0.00201389161516325,-2.2429821961784,0.00360562200252549,0.15604321826767,0.0074270308202543,-2.24694005745487,0.000688887861129265,0.161981098627704,0.000679710929236407
"11422-49",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109227910691381,0.29652466367713,-2.24590201916381,0.00112755663463991,0.156678755698614,0.00243572941502315,-2.24526026418608,0.00134376525225648,0.0705999088511017,0.00201033865107179,-2.24596301445066,0.00357949515858825,0.150759976684525,0.00763330301190249,-2.24541770085965,0.000685657850831387,0.157660278436667,0.000676374663161667
"11422-50",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109044634885929,0.308621636463482,-2.24447870050951,0.00111566391906287,0.154984787773113,0.00252283907544686,-2.24451769501673,0.00134199612363846,0.0654128495930865,0.00201394283310159,-2.24708381179289,0.00357487156042548,0.159866560463457,0.00767247560862142,-2.24491059356869,0.000684138815561589,0.154003601898284,0.000674770500532426
"11422-51",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109044378758431,0.305739514348786,-2.24432869448279,0.00111824334924035,0.150994539768589,0.00250405049612245,-2.24426800677607,0.00134191523929291,0.0648657967310704,0.00201372526323908,-2.24681760366467,0.00347402290139206,0.150666298050523,0.00855750502224411,-2.2441795047869,0.000671933343144326,0.152101105511222,0.000662040052424325
"11422-52",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.10922523841967,0.308493150684931,-2.24209392882891,0.00111289007718649,0.152863272493309,0.00253190512353163,-2.24167075309551,0.00133798174354295,0.0629970745478086,0.00201290639375378,-2.24083592713098,0.0034483155705385,0.165537817673957,0.00868930843669444,-2.24214317688795,0.000667808539126864,0.153301509712992,0.00065787278585085
