"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","eta0_n","se_eta0_n","eta1_n","se_eta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"seed1031-run1",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.718181818181818,0.114700111438613,0.425233644859813,-2.27784161310715,0.00170709638390946,0.177312048151408,0.00197030221618748,0.143820471169928,0.00638468342048817,0.929392460001886,0.0716167995102777,-0.178782152379041,0.40762405618357,-2.27738038710014,0.0021648708957606,0.12964313611758,0.00225167104643667,0.139483348815001,0.00639789304634683,NA,NA,NA,NA,-2.27959589391555,0.00667707173346683,0.173437284695996,0.00704494097852714,0.142863855964438,0.0209769787815492,1.03040044352948,0.192407350606507,-0.814485459068016,1.0056621411611,-2.27799448166086,0.00184237471981089,0.177165787487441,0.00701545091846529,0.143987375996036,0.00194474478352873,0.938196561445325,0.0757903115029238,-0.183886015196066,0.427962481185736,"Converged",NA
"seed1031-run2",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.731818181818182,0.114190329603862,0.426244343891403,-2.27843992861134,0.00165418155397735,0.177668261759325,0.00196276664010651,0.13760939819189,0.00653632720770566,0.795623248204604,0.0704499166135498,0.44375595241978,0.412066387029325,-2.27982348925053,0.0021029887426529,0.127731330493971,0.00222459924082277,0.147654024083736,0.00654747460462811,NA,NA,NA,NA,-2.27171962507855,0.00672449140908808,0.168078754626775,0.0071453133290796,0.138868364016675,0.0277819947943547,0.917879589293817,0.203595623636523,0.914511964201681,1.47602322656362,-2.27818041467505,0.0017718116877267,0.177284589139763,0.007099270772043,0.135283617010444,0.00193919717011461,0.792025052587125,0.0745239712251884,0.556232429791632,0.435827227810155,"Converged",NA
"seed1031-run3",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.704545454545455,0.114458179496607,0.418367346938776,-2.27801515547447,0.00164940513176536,0.174505029925242,0.00196490582829733,0.147826128864189,0.00601744785495729,0.837557930490035,0.0709542022869041,0.693056371941114,0.423548933276088,-2.27946281129955,0.00210406337141438,0.127379531845973,0.00223246574646129,0.16129621770824,0.0060377974900701,NA,NA,NA,NA,-2.27918763371301,0.00633076833341293,0.177002757174764,0.00692758386388243,0.139141302972311,0.0163700554267149,0.916321795631553,0.176737613758196,-0.395549153668142,0.794812983825183,-2.27802460224678,0.00175976845809461,0.174603179824369,0.00641865648520102,0.150758294201006,0.00193126636330084,0.840601401416412,0.0748092100416405,0.519051844668516,0.430735783631836,"Converged",NA
"seed1031-run4",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.681818181818182,0.114219279396632,0.387589928057554,-2.27634042643742,0.00165191316556587,0.174483397049176,0.00196334194150626,0.139718634952575,0.00628719064357519,0.982578217032664,0.0727581053222512,-0.491015396771275,0.386148548785147,-2.27623657100903,0.00201800055540754,0.129563565285617,0.00217252989399121,0.128820923885069,0.00628508065306406,NA,NA,NA,NA,-2.28111994292167,0.00623013062284281,0.175569523860453,0.00677109925840618,0.162631341258359,0.0213695832937484,0.744022154163686,0.18571274517058,0.163104952179672,1.05290316079573,-2.27741419646019,0.00177200414401628,0.174833115792606,0.00684849832145608,0.142179598641904,0.00192597189000127,1.01945458063109,0.0779749210593987,-0.597856159294807,0.401484293895447,"Converged",NA
"seed1031-run5",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.672727272727273,0.114169763194794,0.40017825311943,-2.27817777858771,0.00163135192927447,0.175812857717828,0.0019613403387205,0.142951168566852,0.00580289121886536,0.833335720395288,0.071022039382926,0.36715597941093,0.381256978747272,-2.28256774453879,0.00204017207571552,0.131909393134758,0.00218510597654286,0.151213974999717,0.00580696740885481,NA,NA,NA,NA,-2.28055305216212,0.00624258350423831,0.176303367352967,0.00671081833192276,0.161286572254038,0.0195373771154172,0.793239690291173,0.184864511158359,-0.584000111943813,0.918306347278307,-2.27877417808928,0.00175798407848353,0.176065837694882,0.00650695656715803,0.14374904353081,0.00192806941512219,0.852977846961711,0.0760304777228258,0.323501574235432,0.4054137955419,"Converged",NA
"seed1031-run6",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.731818181818182,0.114135343742324,0.407608695652174,-2.27880565952168,0.00166897315226326,0.176765496063634,0.00196402525133614,0.138290483437071,0.00659035399631563,0.882065616774402,0.0719220371609687,0.0723118438124618,0.403633110398113,-2.280919519739,0.00207919683447952,0.131051223588883,0.00220380967338397,0.140240534792539,0.00659133198027754,NA,NA,NA,NA,-2.28150266224463,0.0067044363700814,0.180967740388322,0.00715566063701564,0.154882871273883,0.0208135447912052,0.951427801708321,0.19682833678376,0.452549048517069,1.0973424700357,-2.2792800274082,0.00181594279386652,0.176415176471768,0.00762871800258937,0.141927667058298,0.001931375845935,0.909027887876061,0.0773310972610351,-0.0846509927458994,0.421180367550973,"Converged",NA
"seed1031-run7",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.731818181818182,0.114213607716091,0.399819494584838,-2.28066825668804,0.00163271246540435,0.17989114929549,0.00196245954146523,0.143879034004743,0.00589540852640233,0.890270142716407,0.0698747821870163,0.103547821140357,0.36068898721809,-2.28092458081155,0.00202972908402348,0.131270487588184,0.00218975496222894,0.145869695242031,0.00589364789074833,NA,NA,NA,NA,-2.28886967848922,0.00656160250292241,0.185318157101514,0.00718381889401848,0.154613848691124,0.0170385034093277,0.958690610294858,0.184168290826938,0.408596973588447,0.961583686062119,-2.28121091759962,0.00174438758640192,0.179965751718834,0.00671047929620715,0.144618909768833,0.00193065912848063,0.90961370923548,0.0738498066458895,0.0780812157382502,0.376266611918502,"Converged",NA
"seed1031-run8",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.718181818181818,0.11419003764295,0.404936014625229,-2.27633022183064,0.00167149907733214,0.172922931623611,0.00196723273913672,0.137535730392221,0.00655939116730832,0.890602306409203,0.071844835794384,0.237073324612808,0.439469286683801,-2.27639014564361,0.00210115869299042,0.125776383948827,0.00221175450878392,0.142490057115673,0.00659257548134339,NA,NA,NA,NA,-2.27262877538847,0.00651837062775224,0.165495539689552,0.00706764626699377,0.130715271541266,0.0276082287829551,0.753560381502073,0.200728563032944,1.98867901946074,1.54291631113047,-2.27611143149579,0.00179064628637293,0.173115552139028,0.0070128729097603,0.138429215233979,0.00193656110675513,0.879050796916253,0.0756871193350887,0.181424081998044,0.45206282159273,"Converged",NA
"seed1031-run9",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.740909090909091,0.114416113792712,0.39,-2.27812068368043,0.00164376920970155,0.177073521257378,0.00196138895573488,0.144006422625762,0.00603645446329381,0.875346950661707,0.0722459472614117,0.592944997384092,0.408464088644239,-2.28148851853082,0.00204463381787789,0.132920888604174,0.00218418655138539,0.157289509587647,0.00605757979242714,NA,NA,NA,NA,-2.27885166827805,0.00666815645598871,0.178728997874148,0.007236889683232,0.162397514809453,0.0177379466970045,1.01549021848723,0.188726896766476,0.311752044380896,0.984717174813085,-2.27866955142097,0.00175576331965556,0.177142803643321,0.00661890095830147,0.149610642705445,0.00193570579375724,0.898371045461042,0.0756876793856551,0.321279924787372,0.414427218405193,"Converged",NA
"seed1031-run10",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.686363636363636,0.114410874670954,0.395095367847411,-2.27500358912721,0.00165054029864428,0.175297950815104,0.00196386952895678,0.132853092708339,0.00618441379195862,0.916362325118109,0.0711309559382979,0.0970928721642047,0.401403500319025,-2.27632974225934,0.0020551743337473,0.130086239748556,0.00219145451862783,0.135626558488875,0.00620748167755134,NA,NA,NA,NA,-2.28318060667845,0.00625716898100611,0.179420658062839,0.00681307719082232,0.179710043974018,0.0229397482962836,0.768705625800827,0.184743645117622,0.144253724228704,1.14260978944897,-2.27441356818483,0.00174465100945817,0.174936044212227,0.00660606617553453,0.127919364304332,0.001935721569427,0.896663132965066,0.0754615425638197,0.352171439455567,0.427099680287215,"Converged",NA
