"sim","N","beta0","beta1","beta2","q","eta1","eta0","eta2","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","eta2_mle","se_eta2_mle","mle_msg","sim_msg"
"seed1031-run11",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.5,0.112939762454267,0.57856567284448,-2.27777551322374,0.00157493808589504,0.177752374358487,0.00196696159698758,0.125563780680456,0.00626988097187564,-2.23659350313373,0.0020242953453686,0.0558391887152756,0.00216209071699877,0.134553913380816,0.00629390595265426,-2.27893822351184,0.00488215447951453,0.184427254611377,0.00635312663738869,0.112159785804488,0.0184381792308265,-2.27736493109735,0.00173354399405322,0.17804909374207,0.00705900706683468,0.122276649380009,0.001981277507656,-1.26740975856832,0.105873330082925,1.34094780963137,0.109799079074468,0.294649843063741,0.307622814508102,"Converged",""
"seed1031-run12",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.463636363636364,0.112860748849929,0.611155378486056,-2.27738905038415,0.0015608434028342,0.174006684427036,0.00196923726045291,0.136715449048382,0.00611071106887499,-2.23553984375905,0.00206750004398765,0.0484849888544369,0.00219490897925465,0.152468328070066,0.0061333315065018,-2.27879542967353,0.00449180183420829,0.173892457162083,0.0063956394263003,0.140157879148061,0.014501700102312,-2.27686069024059,0.00174412187237594,0.173916990051836,0.00731855323023937,0.132961511781704,0.00200111544354608,-1.22540223043109,0.107043037993222,1.1958221563201,0.11055991475674,0.482961302584599,0.303040221224545,"Converged",""
"seed1031-run13",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.472727272727273,0.113247190698886,0.61389337641357,-2.27547234931819,0.00158406444591905,0.17536891255544,0.00196494426926727,0.133700093471333,0.00624634205340822,-2.22974050383999,0.00208177367023185,0.0478311902295493,0.00219705762900964,0.137577227602389,0.0062744992912773,-2.269946383778,0.00475186092889763,0.166341466457128,0.00638863839426394,0.12422654581184,0.0204947908560718,-2.27541573758606,0.00176518102790953,0.175104497351967,0.00707468220417532,0.140071154433744,0.00198740410843402,-1.14631318110287,0.10782671661437,1.20201496930077,0.111361976153685,-0.0744643337664923,0.308368107655238,"Converged",""
"seed1031-run14",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.554545454545455,0.113232265832434,0.595276872964169,-2.27563528316599,0.00156589584636299,0.173482825678684,0.00196455413448277,0.142336831568377,0.00641468704341473,-2.22227063889904,0.00197080368671588,0.0369195403846562,0.00213361133294857,0.155355625798058,0.0064449018512624,-2.27795077521579,0.00490861704353184,0.179272031446282,0.00623921297099866,0.109597511555065,0.0218142660121078,-2.27539418704101,0.00174073544871298,0.174142835806195,0.00793984153661172,0.136032775397331,0.00198981543324938,-0.977534663630002,0.0971955339394137,0.982606907791547,0.102738195634799,0.471282248033367,0.318766245076418,"Converged",""
"seed1031-run15",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.5,0.113395006899127,0.608906882591093,-2.27718828887175,0.00154181889915958,0.177650198111624,0.00196419088771053,0.146609904785143,0.00587006676420238,-2.23292308238304,0.00202759628132436,0.0479362049354002,0.00217687900263127,0.174914288181116,0.00585422546867614,-2.27081102943497,0.00470218351457121,0.17580695107547,0.00643003627000644,0.114163508930081,0.0220209969333302,-2.27752170005247,0.00172185072177829,0.177986672544884,0.00676342157739537,0.144353538115323,0.00198247856087899,-1.14192577845888,0.104608588331554,1.11559103468427,0.108791261165684,0.763221047642312,0.288946146462879,"Converged",""
"seed1031-run16",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.554545454545455,0.113205834106781,0.61251015434606,-2.27820068488383,0.00156730263837378,0.177332320409252,0.00196460522641592,0.143488069754377,0.00618798438481547,-2.23141085575414,0.00206860610382566,0.046261422527775,0.00218504148290304,0.163341233501196,0.00620852500546487,-2.27923351081547,0.00508625428547266,0.181971842989862,0.00625223963093409,0.148198435156635,0.0218073495220255,-2.27831583135299,0.00178551934843118,0.17725667412753,0.00729576514087014,0.147096921213874,0.00199979954173472,-1.05793336348571,0.103659779024829,1.05473494463095,0.107005160150446,0.401467304330857,0.302929249171058,"Converged",""
"seed1031-run17",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.481818181818182,0.112880631622317,0.626677190213102,-2.27741027580147,0.0015575452986794,0.178946518406857,0.001970959091749,0.131414752917984,0.00641279321760082,-2.23459045913033,0.00209742638562667,0.0471969820107568,0.00220863083350283,0.15619701451155,0.00645788455858288,-2.27650566193106,0.00457125563073614,0.17509925907188,0.00657804818113232,0.112897254156731,0.0201222728656858,-2.27699246954369,0.00173535778266328,0.178950208446622,0.00700483960540561,0.130509369117735,0.00200902546218983,-1.20400638278815,0.107621495017196,1.1076926009822,0.110394263612456,0.5872442945081,0.306541729043345,"Converged",""
"seed1031-run18",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.527272727272727,0.112728606998777,0.623538581449727,-2.27798712785053,0.00151440488336745,0.177864322653462,0.00197407118249227,0.140810506890711,0.00568694957700976,-2.23164078882325,0.00202301719689542,0.0429772477293938,0.00218951914145098,0.149431570089785,0.00573770840842162,-2.27548742698525,0.00453954911625944,0.176741727771606,0.00634452497020077,0.133479636102235,0.0144785065548153,-2.27670275852193,0.00163643582846732,0.178068986924188,0.00635149242174,0.137013314485063,0.00199492916108316,-1.17936823865828,0.10404162387939,1.07257191377388,0.109271160868531,0.275537348315429,0.279525699880021,"Converged",""
"seed1031-run19",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.481818181818182,0.113422207303369,0.628571428571429,-2.28122759931021,0.00159823513616085,0.179724515889454,0.00196156857863933,0.148814836523361,0.0064174825780969,-2.23137820352571,0.00206705552951726,0.049333323731645,0.00221356198576833,0.15597651753568,0.00641955254451011,-2.28826744320097,0.0049612471829172,0.179823538758098,0.00630712438906369,0.149442694234157,0.018248438822046,-2.28151696898728,0.00177115412758069,0.17975131289341,0.00732722811323396,0.150545736907251,0.00198285394234391,-1.0048691722005,0.102461696591188,1.1181831429131,0.107856050780064,0.127090809113048,0.307393059318361,"Converged",""
"seed1031-run20",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.5,0.113120898736926,0.623481781376518,-2.27910038126293,0.00154371643447642,0.178216675481361,0.00196499889389317,0.148662733367887,0.00603831029607796,-2.2282584604709,0.00202952236261612,0.0414907146310406,0.00218354043693473,0.163594792857276,0.00608309957942638,-2.27962797014283,0.00449324239256009,0.181345054017183,0.00633023306552453,0.158038153793228,0.0144579616258111,-2.27967928587953,0.00173750841136774,0.178356813444496,0.0068174187872169,0.149926397999091,0.00198200090817205,-1.01033829308464,0.101601765879807,1.01192919803242,0.106605980335677,0.304927933467049,0.294003447669111,"Converged",""
