"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","eta0_gs","se_eta0_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","eta0_cc","se_eta0_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta1_mle","eta0_mle","se_eta0_mle"
"11422-233",390,-2.245641,0.1549768,0.1,0.9,0.113131654510013,0.0897435897435897,-2.24429282896509,0.00310918961317552,0.155218343847707,0.00470410264378779,2.00533356929125,0.232439844641599,-2.24423806827055,0.00325912648353309,0.137810682271785,0.00466790425684895,-2.22624748520652,0.00905134460544628,0.133306944885034,0.0156816761167952,1.791759469228,0.763762510526457,-2.24422955265899,0.00315392093709768,0.154228845752442,0.00444264912569413,2.05525974036694,0.268098885805086
"11422-234",390,-2.245641,0.1549768,0.1,0.9,0.113203287701998,0.104347826086957,-2.24670667765692,0.00314241677003091,0.158535430696337,0.0046886110329,1.8971199848783,0.218898392433291,-2.24677267951891,0.00332092081580005,0.139332094409223,0.00466477990475448,-2.25135168482269,0.00973769323691555,0.153797106334201,0.0149779667048077,1.60943791169281,0.632445590326353,-2.24719693271986,0.00318903908050163,0.160193389934559,0.0044239046405589,1.86954660980344,0.245472633814139
"11422-235",390,-2.245641,0.1549768,0.1,0.9,0.113181899876641,0.107758620689655,-2.24870700530594,0.00313013866648915,0.164582648582999,0.00469140335492815,1.84371920815795,0.215241871125237,-2.24686333727895,0.00331147516078265,0.139899292907559,0.0046632717809859,-2.26137482434729,0.0102603213315849,0.167070033753701,0.014821963858914,1.73460105538811,0.626224281242808,-2.24838054870225,0.00318983309902056,0.164468402903291,0.00444582902092556,1.81224021264187,0.235469499848705
"11422-236",390,-2.245641,0.1549768,0.1,0.9,0.113914441738674,0.0985915492957746,-2.24515663921802,0.00326415810520819,0.154035771081227,0.0046482066710514,2.13162729016127,0.230790351534877,-2.24432345963212,0.00343652680771794,0.137300214579252,0.00466481882456044,-2.2538182930376,0.00976551168422154,0.171971199908266,0.0149320133312114,2.70805020100424,1.03278879725806,-2.24483128400312,0.00334034881054596,0.154278064524128,0.00433777300578008,2.07482411332796,0.274363215436809
"11422-237",390,-2.245641,0.1549768,0.1,0.9,0.114750965933294,0.085427135678392,-2.243957896423,0.00337645102127254,0.155164076899758,0.00464339962142747,2.41906008399029,0.253098995744107,-2.24446874582162,0.00353087942118886,0.144299064427475,0.00468058932361208,-2.24867765730983,0.0104183600661225,0.132099319666664,0.0148236222414282,2.19722456035744,0.74529456856456,-2.2438030992838,0.00343508121954789,0.154477565557349,0.00425780664180076,2.45558928151927,0.303559028635703
"11422-238",390,-2.245641,0.1549768,0.1,0.9,0.113867837227217,0.109004739336493,-2.24676468589846,0.0032814577308037,0.154843640629755,0.00465066352329456,2.05189158913227,0.221502033328288,-2.24454203076733,0.00347228393238969,0.134381712544678,0.00467551686708366,-2.25407742431993,0.011612995491726,0.146960492546275,0.0149862586736597,3.09104245335831,1.02247469345258,-2.24631355261623,0.00330945397769332,0.154260599692484,0.00439185149008463,2.03235236305115,0.250265759062474
"11422-239",390,-2.245641,0.1549768,0.1,0.9,0.112700904120735,0.102127659574468,-2.24945794966521,0.00311438769642594,0.159491682550751,0.0047134674339592,1.86537128656914,0.219358597133756,-2.24961341408568,0.00328813897559258,0.139763593322983,0.00467567358589075,-2.2515311253018,0.00917701401628004,0.174314546204361,0.0156332009465765,1.791759469228,0.763762510526457,-2.24986482744575,0.00319708853888594,0.158354400512338,0.00451321094418453,1.97169530415485,0.261152230656267
"11422-240",390,-2.245641,0.1549768,0.1,0.9,0.113811560194892,0.119047619047619,-2.24619060845286,0.00328844057727997,0.152019998078317,0.00465162719296243,1.97408102592509,0.213436182609184,-2.25026513413942,0.00351166830193164,0.141900346947604,0.00468703648662371,-2.25600050001019,0.0104575851473453,0.169031826575002,0.0147021428335651,2.89037175539071,1.02736793740422,-2.24840300770842,0.00340596914227156,0.150518455704843,0.00451813044576052,2.3760675863182,0.349119367857597
"11422-241",390,-2.245641,0.1549768,0.1,0.9,0.113124901152169,0.0765765765765766,-2.25185312395507,0.00320741796942979,0.161031282134807,0.00467548136752339,2.29075063534703,0.254511111494925,-2.25164869627274,0.00333717220219755,0.146891611515981,0.00466851858629602,-2.24360248391815,0.0106298759956825,0.148957096354303,0.0146876442243467,2.94443897327045,1.02592550537004,-2.25170989772801,0.00322824138778736,0.161762579237896,0.00439091405527365,2.222407842597,0.281804039197115
"11422-242",390,-2.245641,0.1549768,0.1,0.9,0.114532178179855,0.0714285714285714,-2.23930939538692,0.00327388705271666,0.150770661638727,0.00463456966406564,2.48490664978728,0.268741776751888,-2.23912607206952,0.00339696068738544,0.139613275865814,0.00464573100032488,-2.23681185643887,0.0108856504722793,0.159231846047676,0.0146243532723998,1.8971199848783,0.619138150721662,-2.23950812883611,0.00329544364530746,0.150619834454636,0.00436583200265554,2.53718718929957,0.338832184582454
