"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-46",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111746310373735,0.275471698113208,-2.242586516148,0.00291920017405214,0.151421547102092,0.00490991592834943,-2.24704426046291,0.00343857821607678,0.106387208415451,0.00470532304405149,-2.2197071681699,0.00980627582305511,0.116400754036656,0.0148011322018659,-2.24546018015509,0.00305608546266478,0.148904948296404,0.00488514347475043,0.679522552345399
"11422-47",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111044232781559,0.21978021978022,-2.24935540203953,0.00288796575450709,0.162274441565921,0.00498808798278085,-2.25002760764244,0.00327138057110814,0.111510470615054,0.00471246700774498,-2.24701755026562,0.00898860251730869,0.153374612376526,0.0160343229880945,-2.24937601135403,0.00296358958137457,0.162258157426455,0.00496312842517058,0.661168089942659
"11422-48",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111496711322014,0.26171875,-2.25024965837604,0.0029830410574639,0.156333232464177,0.00484135270402833,-2.24790312902059,0.00346679204461615,0.102601265254718,0.00471465467917052,-2.24340508268834,0.00869992677920162,0.180127929977017,0.0169415387563222,-2.24944925311262,0.00316287602651868,0.156222175066588,0.00482337023796125,0.657554339424248
"11422-49",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111219571862554,0.25,-2.24024241427527,0.00283701847028346,0.147960708355516,0.00507308546519243,-2.24394102027858,0.00328156372960319,0.100602467266269,0.00470560415315987,-2.22509825196921,0.00875879572004315,0.138634734836719,0.0164450555246385,-2.23959629894651,0.00291584181536148,0.147307940479151,0.00571201627802773,0.604790812603631
"11422-50",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111011806363686,0.223404255319149,-2.2426884952029,0.00283122497982467,0.152211004677248,0.00509950970010563,-2.23964329787934,0.00320852428025216,0.092125125720624,0.00472368328264353,-2.24888243368293,0.00887111883680742,0.141959359354907,0.0166066216140501,-2.2425951548229,0.0028997622705277,0.150636311078789,0.00531336547689165,0.637424768622892
"11422-51",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.110977151251304,0.286764705882353,-2.24924165390263,0.00289094545727855,0.159044120551945,0.00498075290375501,-2.24929399589477,0.00342425498926018,0.0987474145485131,0.00471533499194527,-2.23860502992968,0.00965969275634602,0.150820930842912,0.0149144856811864,-2.24830907060912,0.00290842302107826,0.159360142029648,0.00551008578830954,0.589430535112467
"11422-52",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111559000942476,0.286274509803922,-2.24980447784506,0.00298885776200815,0.155472401386862,0.00483590867769521,-2.2514219730832,0.00354340337539267,0.106354077686573,0.00473382779735857,-2.2537171963581,0.00844460296389976,0.134232440718711,0.0189080985402967,-2.25062815979302,0.00320790215819432,0.153823896848032,0.00466944796546787,0.666180873336464
"11422-53",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111126088151443,0.253623188405797,-2.24352281521581,0.00286584601079038,0.150785650578172,0.00502733784573955,-2.24430253425205,0.00331790281594594,0.0977575192434167,0.00470932252186651,-2.24649562634077,0.00974646728145056,0.165764450117418,0.0149146603968572,-2.24433804519094,0.00294008222032229,0.152745698420415,0.00533217488060203,0.621931192561783
"11422-54",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112511580106972,0.197530864197531,-2.24468932401989,0.00305339519989107,0.151945620419894,0.00474668176012096,-2.24414489813652,0.0034066648790392,0.115727514682285,0.00468352020220063,-2.24389197039015,0.0101190924222888,0.152221291765368,0.0147214448435438,-2.24436605450762,0.00315486241659498,0.15156821457367,0.00461158452119973,0.751590220174592
"11422-55",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111011543624986,0.242753623188406,-2.24635457525906,0.00286742477180358,0.156659875346867,0.00502350237738741,-2.24817506262204,0.0032995027374389,0.105123189648837,0.00470960095016765,-2.24795392873849,0.00902109354930281,0.155062860627936,0.016065171933733,-2.24674455246617,0.00296944691809832,0.15592749132982,0.00507891885942675,0.637859518560162
"11422-56",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111337831131204,0.23943661971831,-2.23981042139893,0.00281693416703791,0.155203421754354,0.00511413345549433,-2.23907758509837,0.00322925165281478,0.095764638614493,0.00471070591723531,-2.24659704760912,0.00914969971171293,0.136203845462034,0.015771287064438,-2.23967566705116,0.00285189006232249,0.155584609609391,0.0052891668552382,0.606003082568903
"11422-57",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111919893497434,0.304182509505703,-2.24482612863782,0.00293304198128549,0.159597325136292,0.00488123319055279,-2.24436255237173,0.00351450810579062,0.100014792712629,0.00471759603913071,-2.23752149964675,0.00985951336713951,0.143670705309926,0.0148131454606058,-2.24516994885279,0.00299911938158378,0.159176487404738,0.00511643784418804,0.619003205472763
"11422-58",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112066315700201,0.265060240963855,-2.24949067559975,0.00302516747861663,0.159887573686645,0.00478903396516467,-2.2516816736741,0.00353173853230753,0.115575773632548,0.00472343003249631,-2.25088517374356,0.00995135573612772,0.148013121655311,0.0148951164774871,-2.24890944141908,0.00306247849951806,0.160889140647616,0.00486549984562182,0.669986885369804
"11422-59",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111389612462951,0.241758241758242,-2.24524702903304,0.00288302895006112,0.159400021853468,0.00498202588782286,-2.24368984734647,0.00330889992163176,0.101673342151271,0.00470273059139596,-2.24177237739986,0.00950614635802637,0.158343362478896,0.0151240457215737,-2.2445235164199,0.00294319987434951,0.159215195038455,0.00514500071300785,0.630895133055587
"11422-60",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111799236897492,0.223880597014925,-2.24063159580241,0.00290137865930755,0.15063942530979,0.00493423045149448,-2.24287782405115,0.00329588043154175,0.108037636782941,0.00469403392158865,-2.24872120755889,0.00900900494916015,0.141667292138352,0.0161440661318679,-2.2426043384271,0.00300213503260521,0.149494497744827,0.00515988652355874,0.703263657395195
"11422-61",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112110330820843,0.264,-2.24576926624098,0.00301357877220353,0.152636068607703,0.00479910160537927,-2.24377184319051,0.00350980820799035,0.102520219314157,0.00471772952289153,-2.25944753341483,0.0102051340335485,0.153350364196765,0.0148457657294735,-2.2455731051172,0.0030688225876442,0.151916964531412,0.00482329783318508,0.680419843999281
"11422-62",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111224235696781,0.266917293233083,-2.24956988317129,0.00292563917140472,0.15926278923678,0.00491875279940921,-2.24634789476083,0.00341153758877007,0.0980861890047277,0.00470948329489742,-2.23818550099995,0.0094779232104,0.152774722006268,0.015121574653964,-2.2494421854224,0.00300046247721501,0.160006587160163,0.00499801392630686,0.631042984219123
"11422-63",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112219900927104,0.208,-2.24480951805287,0.00301189697556187,0.152757181573101,0.0047918627189162,-2.24224830663184,0.00338073198061843,0.108697737324549,0.00468884480779101,-2.24802658224789,0.0112544388768711,0.166537769642753,0.0147734268976469,-2.24423580133562,0.00310976591428884,0.15367196303592,0.00453632620600067,0.716731273359852
"11422-64",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.11112703778487,0.234432234432234,-2.24577534643422,0.00288352027371242,0.153920938369036,0.00499516513031175,-2.24713556216202,0.00329713416368301,0.104977237144148,0.00471005793115083,-2.24501890819895,0.00900864015069459,0.15550441145571,0.0160262490488502,-2.24515465393081,0.00291909356155936,0.15649599355523,0.00545915999006234,0.626655205631937
"11422-65",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111356974302373,0.250936329588015,-2.24461409055554,0.00291468275657179,0.149490532624032,0.00493704704089139,-2.24563680548123,0.00336875906885462,0.101325966669936,0.00470649675001391,-2.24723302825338,0.00898642551368091,0.162844124191601,0.0160099214070464,-2.24512369182589,0.00306930953733276,0.147477445995111,0.00522071523994784,0.663840319034795
"11422-66",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.110019957697018,0.3,-2.24946875568944,0.00280256040656748,0.155946338559275,0.00522777898531956,-2.2498199058935,0.00335210083001618,0.0870341152049874,0.00473164881841428,-2.23680695565921,0.00851657527601343,0.145210986863194,0.0177902744713653,-2.24970195483283,0.00291913056187676,0.153623536151141,0.00548453459777379,0.546366907263076
"11422-67",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.112445176921738,0.259259259259259,-2.24514232591939,0.00305580346463035,0.151467327013949,0.00475464919350181,-2.24592578390819,0.00355271642268773,0.109726657126704,0.00472325451589408,-2.24923736312495,0.00991070722033075,0.162583384842683,0.014794049323172,-2.24652594397999,0.0032420995296466,0.150127297279968,0.00463110812323516,0.723635986716741
"11422-68",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111340900466093,0.211895910780669,-2.2464861510976,0.00290213610713446,0.156539368873185,0.00494506640487171,-2.24690362226736,0.00326835654424486,0.109955770895819,0.00470226680974466,-2.23322069421085,0.00894462554269146,0.137857788008748,0.0160038911882229,-2.24722727725385,0.0029901450877684,0.154715623235068,0.0051354295176542,0.699030279235801
